年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,3,9,13,0,4,4,0,45,635,61,356,4,61,0,0,4,0,0,12,20,0,4,4
2018,3,9,14,0,12,0,106,20,414,49,328,16,209,4,4,8,4,0,16,12,0,4,4
2018,3,9,15,0,0,0,274,28,508,94,254,8,368,20,4,8,0,0,20,287,4,36,0
2018,3,9,16,12,4,4,873,45,668,110,282,24,979,28,0,4,0,0,49,348,4,69,36
2018,3,9,17,82,0,4,729,98,692,77,541,45,2168,61,20,16,0,4,147,705,53,69,143
2018,3,9,18,61,20,28,377,36,557,73,168,94,2550,12,12,0,4,24,147,1787,77,122,266
2018,3,9,19,106,36,549,1119,98,557,45,176,73,2205,20,4,4,0,0,118,2759,127,147,241
2018,3,9,20,172,32,1115,569,57,209,73,12,41,2345,20,0,0,0,0,82,2185,102,57,225
2018,3,9,21,122,73,2070,192,61,221,49,32,49,1988,36,0,0,8,0,73,2000,102,90,155
2018,3,9,22,192,241,1057,114,49,143,41,53,32,2628,49,4,12,118,0,65,1803,16,12,233
2018,3,9,23,151,73,672,77,20,131,28,77,12,696,24,4,32,155,0,82,828,0,8,49
2018,3,9,24,151,28,455,323,24,-9998,16,77,4,143,16,0,20,102,0,8,118,0,4,8
2018,3,10,1,106,4,348,287,53,758,20,0,0,102,12,0,0,41,0,4,16,0,4,4
2018,3,10,2,20,0,110,90,36,721,16,0,0,24,16,0,8,20,0,0,12,0,0,4
2018,3,10,3,41,0,204,118,32,692,12,0,0,32,12,0,0,24,0,0,12,0,4,0
2018,3,10,4,139,0,549,168,8,287,16,0,0,45,0,0,0,4,0,0,41,0,8,4
2018,3,10,5,151,4,1201,61,32,200,0,0,8,127,16,0,0,0,0,8,12,0,12,4
2018,3,10,6,155,0,942,131,20,106,8,0,8,139,24,0,0,0,0,16,41,4,49,12
2018,3,10,7,377,4,1668,86,32,266,8,4,0,217,36,8,0,28,0,20,8,20,24,12
2018,3,10,8,442,65,2119,278,16,147,8,24,16,315,41,73,4,315,0,28,135,12,4,32
2018,3,10,9,381,131,,209,65,168,28,12,41,1176,65,49,24,582,0,32,221,24,12,110
2018,3,10,10,344,102,1578,122,24,147,49,53,45,2287,45,41,8,151,4,143,241,41,24,135
2018,3,10,11,221,143,1258,32,24,200,8,65,45,2111,65,45,45,127,16,114,262,106,20,135
2018,3,10,12,225,77,770,98,16,114,24,41,24,2017,118,28,41,225,8,221,528,90,73,241
2018,3,10,13,565,90,569,168,16,127,28,32,49,1344,65,65,57,270,8,311,405,139,82,168
2018,3,10,14,360,168,631,155,16,180,32,86,122,2451,122,20,24,373,4,229,274,98,36,147
2018,3,10,15,196,114,446,122,12,159,53,143,147,1414,98,24,110,348,8,106,578,32,53,135
2018,3,10,16,299,106,287,155,4,168,28,184,102,245,176,114,118,455,4,315,865,86,164,106
2018,3,10,17,319,200,533,266,8,377,45,65,180,381,122,270,90,364,16,192,483,168,164,32
2018,3,10,18,20,151,737,811,16,323,41,94,155,332,86,98,131,245,28,53,262,533,414,41
2018,3,10,19,32,217,192,385,12,565,250,127,98,643,188,106,86,459,16,94,143,356,118,36
2018,3,10,20,57,455,77,373,8,438,311,159,118,401,188,127,262,705,24,204,122,20,61,73
2018,3,10,21,86,250,204,610,8,209,200,315,65,323,127,196,258,947,12,45,364,49,122,65
2018,3,10,22,122,65,262,229,8,254,385,471,110,545,311,791,676,897,12,86,102,106,122,41
2018,3,10,23,164,36,450,77,8,295,565,537,176,438,360,520,811,491,12,139,45,98,110,110
2018,3,10,24,176,102,487,41,20,229,381,209,418,397,750,229,565,237,12,106,86,82,164,459
2018,3,11,1,221,106,450,77,4,504,172,282,151,418,237,73,200,348,36,598,90,180,106,528
2018,3,11,2,500,139,213,176,0,635,233,364,82,725,278,32,114,385,28,479,151,114,65,409
2018,3,11,3,483,94,139,352,8,709,352,442,135,594,266,69,131,405,8,127,106,98,98,541
2018,3,11,4,323,352,385,360,28,824,487,442,94,455,377,143,82,356,24,86,131,61,65,664
2018,3,11,5,332,319,221,496,45,951,516,291,192,422,528,143,139,213,8,86,311,57,53,520
2018,3,11,6,356,151,192,582,32,1332,483,225,94,368,516,172,77,172,16,122,356,94,49,656
2018,3,11,7,553,114,131,619,77,1570,750,204,110,323,381,114,143,114,20,53,528,94,102,467
2018,3,11,8,168,65,106,561,69,1439,692,176,86,401,610,90,77,168,4,164,426,131,57,299
2018,3,11,9,102,24,118,381,73,881,914,319,94,569,491,16,94,45,8,131,565,82,147,344
2018,3,11,10,28,61,86,332,28,434,996,266,106,401,803,45,57,41,0,131,262,32,102,225
2018,3,11,11,24,45,98,323,16,172,475,311,45,184,299,49,77,53,45,45,164,20,32,77
2018,3,11,12,4,28,86,188,12,106,192,213,32,127,237,45,28,241,4,36,213,32,65,49
2018,3,11,13,28,110,41,114,24,53,245,176,45,373,184,16,20,229,8,28,164,28,28,94
2018,3,11,14,28,65,86,90,4,135,180,278,53,414,967,16,8,184,16,45,254,53,53,41
2018,3,11,15,4,94,24,168,0,746,192,500,45,414,1340,20,0,258,8,32,135,16,49,98
2018,3,11,16,4,57,28,578,28,1393,229,418,16,287,930,0,16,127,8,57,200,16,12,245
2018,3,11,17,4,45,57,602,41,1734,245,811,20,619,541,20,12,69,4,32,204,73,106,221
2018,3,11,18,8,36,36,869,57,1213,569,865,45,594,463,8,36,184,24,53,323,328,82,344
2018,3,11,19,45,24,151,446,20,901,565,2357,61,897,1348,57,143,61,57,65,368,110,94,135
2018,3,11,20,258,45,553,225,20,418,430,2755,151,1271,2591,49,118,49,41,94,455,53,65,209
2018,3,11,21,340,282,315,106,77,500,151,2177,533,1635,356,86,86,110,12,159,389,90,90,352
2018,3,11,22,299,184,1922,1156,24,586,172,1935,254,2140,155,131,176,287,12,131,328,221,307,528
2018,3,11,23,348,73,2730,5272,24,684,164,1279,106,1377,65,36,151,274,36,49,266,278,717,569
2018,3,11,24,951,200,1344,1090,4,1557,73,1603,45,1906,57,32,106,102,36,16,311,151,594,668
2018,3,12,1,2008,524,721,1156,0,1283,32,1496,45,2050,24,213,229,250,8,41,147,73,278,680
2018,3,12,2,1988,631,651,2078,4,623,94,512,49,1578,0,147,159,627,65,24,69,69,122,778
2018,3,12,3,1094,635,680,1111,0,364,77,237,12,836,12,245,94,1332,49,53,45,82,159,1336
2018,3,12,4,1537,455,274,1213,20,323,94,155,20,639,32,209,77,1713,28,110,12,102,98,3624
2018,3,12,5,3427,537,360,1012,4,192,65,49,4,860,16,98,41,787,20,73,8,176,86,2230
2018,3,12,6,1648,303,1119,352,12,442,90,143,12,881,16,135,28,824,20,28,8,135,69,1738
2018,3,12,7,742,57,979,463,8,418,65,467,4,1115,28,122,53,672,4,53,16,102,65,881
2018,3,12,8,487,86,656,332,0,967,57,586,16,1004,57,86,41,418,20,28,565,172,53,893
2018,3,12,9,340,122,418,254,16,438,139,643,24,1020,49,86,61,553,16,53,684,229,127,627
2018,3,12,10,282,168,639,360,4,258,200,430,32,705,32,28,61,344,0,106,692,180,131,389
2018,3,12,11,159,127,565,188,4,463,155,340,77,1012,24,12,24,254,4,262,1111,94,241,422
2018,3,12,12,114,82,635,164,8,291,94,254,143,1086,49,8,49,139,8,368,865,69,368,368
2018,3,12,13,225,82,586,57,32,487,139,323,291,1344,82,24,57,241,4,491,487,61,229,213
2018,3,12,14,168,184,459,98,16,705,110,385,352,1762,82,98,110,213,4,344,344,57,110,118
2018,3,12,15,147,213,336,746,,1139,127,500,479,1332,241,110,16,200,0,172,307,69,90,180
2018,3,12,16,200,287,340,1045,8,1127,106,553,434,1078,450,32,4,307,4,151,196,36,45,94
2018,3,12,17,8,450,783,848,12,1057,143,442,516,1029,992,16,28,397,4,36,143,28,45,61
2018,3,12,18,16,491,1020,418,8,701,102,262,114,266,1004,12,61,131,0,16,135,24,49,102
2018,3,12,19,45,122,565,598,24,1504,180,299,90,426,1443,24,45,57,12,28,282,49,61,86
2018,3,12,20,94,94,381,323,36,1885,164,565,77,311,541,41,61,139,16,53,237,28,45,127
2018,3,12,21,168,41,422,311,28,1590,307,660,28,385,877,41,49,176,8,65,278,12,24,221
2018,3,12,22,159,57,594,278,12,1283,217,262,16,282,299,20,77,106,8,82,274,24,8,221
2018,3,12,23,135,49,668,315,16,918,258,373,45,299,86,24,65,57,0,36,204,4,16,196
2018,3,12,24,135,49,438,233,45,856,746,282,49,323,245,36,36,57,4,45,245,8,49,94
2018,3,13,1,73,53,385,217,28,619,676,328,32,729,393,4,73,57,0,90,131,4,69,159
2018,3,13,2,143,61,209,278,49,733,299,442,53,348,270,8,36,118,0,32,266,24,73,328
2018,3,13,3,127,69,159,274,32,848,635,524,36,155,241,20,53,155,0,41,45,135,69,537
2018,3,13,4,118,49,254,393,53,914,266,438,20,282,127,32,36,188,0,61,20,147,24,274
2018,3,13,5,192,32,328,516,20,869,237,520,135,467,159,12,41,139,0,217,147,102,73,373
2018,3,13,6,86,86,328,717,69,516,151,701,155,368,168,24,45,102,0,258,168,106,86,619
2018,3,13,7,98,49,266,664,69,352,282,479,241,401,426,12,41,69,0,405,188,131,168,1086
2018,3,13,8,53,36,459,631,90,414,229,770,266,680,233,24,49,143,8,405,463,118,159,934
2018,3,13,9,41,65,295,504,49,328,291,487,151,672,180,41,32,114,16,200,828,114,77,352
2018,3,13,10,41,65,155,180,8,303,131,196,82,397,225,61,32,77,8,118,225,86,127,258
2018,3,13,11,32,49,86,94,12,881,41,213,118,180,69,57,16,82,8,114,188,12,102,147
2018,3,13,12,41,53,36,69,45,594,49,131,49,127,77,41,12,106,12,36,188,24,32,143
2018,3,13,13,49,82,28,90,24,672,41,61,32,135,77,4,16,135,4,16,176,57,45,135
2018,3,13,14,24,41,69,114,4,783,36,24,61,143,32,12,20,90,16,28,127,53,57,184
2018,3,13,15,41,114,241,90,32,742,20,24,53,151,69,16,41,102,0,41,221,36,28,122
2018,3,13,16,20,77,118,131,16,282,41,28,90,131,69,20,24,209,8,90,409,32,90,102
2018,3,13,17,20,73,164,110,12,151,86,8,184,430,90,24,24,278,4,147,446,49,32,57
2018,3,13,18,12,143,307,69,61,176,90,24,336,889,164,12,16,200,12,204,254,41,53,45
2018,3,13,19,45,266,418,155,49,951,114,164,434,615,340,16,12,172,4,315,258,32,36,69
2018,3,13,20,164,135,131,114,69,2148,82,344,450,446,491,12,36,184,28,574,102,49,86,86
2018,3,13,21,360,155,196,86,28,2041,877,254,475,455,549,4,16,192,20,508,250,77,98,270
2018,3,13,22,528,180,164,65,36,1500,1357,200,643,799,373,12,32,168,16,537,139,106,73,139
2018,3,13,23,323,266,159,98,16,1644,1008,196,504,684,127,16,12,139,16,610,184,86,77,98
2018,3,13,24,102,237,192,155,82,3357,701,258,418,524,438,20,45,127,28,754,594,24,98,53
2018,3,14,1,16,508,696,192,36,4042,463,245,742,409,463,16,32,106,4,746,131,12,147,983
2018,3,14,2,61,615,1107,266,24,4678,491,897,487,213,418,4,49,127,16,332,270,4,287,766
2018,3,14,3,102,352,709,692,24,7015,450,496,754,192,1230,61,69,61,0,295,397,49,319,692
2018,3,14,4,188,213,479,446,32,6088,860,352,709,266,1734,615,49,188,0,520,233,86,799,811
2018,3,14,5,307,114,303,245,8,4686,721,266,918,311,1385,434,291,151,0,545,434,36,737,705
2018,3,14,6,77,49,393,225,8,5875,1139,737,631,377,2578,270,69,360,0,533,619,4,254,651
2018,3,14,7,45,49,364,90,0,6195,971,1037,598,455,3357,262,110,254,0,742,360,16,139,487
2018,3,14,8,28,319,188,118,41,5514,852,2230,409,934,1902,139,114,184,16,348,983,32,184,483
2018,3,14,9,155,344,200,94,28,1221,487,1734,221,569,746,122,90,118,32,270,471,73,196,422
2018,3,14,10,533,221,528,86,41,1369,639,860,82,188,1557,94,32,139,4,164,323,53,127,278
2018,3,14,11,196,131,270,114,24,992,373,418,41,114,1685,32,36,323,8,61,82,24,32,262
2018,3,14,12,180,127,200,188,65,910,463,471,69,110,729,20,32,204,4,32,86,32,127,114
2018,3,14,13,151,122,561,291,45,610,955,110,69,69,578,24,28,90,16,20,143,24,45,102
2018,3,14,14,36,86,479,143,28,746,1205,118,65,90,102,12,45,49,4,8,159,28,32,90
2018,3,14,15,28,61,303,459,73,635,1504,49,16,53,86,28,28,41,8,24,266,36,32,102
2018,3,14,16,24,82,299,1631,69,258,758,49,24,86,65,12,28,36,4,16,73,16,28,204
2018,3,14,17,12,77,442,2045,82,250,733,45,24,32,41,24,20,106,8,12,258,65,86,299
2018,3,14,18,12,98,278,2648,77,1656,996,24,24,77,82,24,65,127,0,61,229,114,90,401
2018,3,14,19,41,65,344,2480,188,6412,1000,20,49,90,32,69,94,164,53,200,118,106,122,332
2018,3,14,20,49,213,418,1365,24,7642,319,45,114,315,73,122,176,299,16,323,94,65,118,414
2018,3,14,21,77,245,385,1611,139,4423,229,94,168,274,94,184,192,520,28,360,200,98,45,295
2018,3,14,22,36,500,307,1533,184,3402,483,69,270,328,106,98,287,356,41,811,496,200,172,926
2018,3,14,23,213,311,442,1029,77,3267,737,53,430,615,49,114,221,393,36,684,533,184,262,766
2018,3,14,24,180,139,397,578,20,5682,951,20,344,819,225,147,303,487,20,487,565,98,270,1107
2018,3,15,1,151,61,582,533,57,9917,578,12,348,959,188,164,405,360,8,262,824,82,385,2828
2018,3,15,2,192,65,516,450,53,5325,582,295,438,1213,217,184,401,315,0,131,586,164,291,1750
2018,3,15,3,118,90,869,393,184,1668,1291,49,147,569,139,110,299,295,0,102,262,332,217,1385
2018,3,15,4,65,82,1135,770,122,3218,737,90,53,479,221,41,287,356,0,36,196,340,65,1972
2018,3,15,5,151,77,1258,426,77,2242,873,65,102,401,241,16,291,311,0,90,258,176,122,2763
2018,3,15,6,266,106,1516,409,65,1898,1496,200,135,520,1045,12,483,278,4,122,442,192,90,3144
2018,3,15,7,848,118,1451,947,65,1648,815,311,233,483,1672,8,196,446,4,233,647,426,233,1492
2018,3,15,8,754,328,3325,1266,49,1361,1189,200,241,1045,1143,122,377,147,41,336,750,258,430,1053
2018,3,15,9,1193,270,2587,1303,90,1717,1098,336,217,1512,340,164,877,524,61,393,787,127,586,241
2018,3,15,10,200,282,1324,643,73,803,1189,225,323,893,737,131,176,1057,8,303,291,139,159,266
2018,3,15,11,49,291,475,524,69,934,979,168,287,450,631,61,94,1348,16,192,368,57,143,381
2018,3,15,12,139,192,282,315,32,971,668,98,217,500,254,45,41,487,4,143,508,61,192,270
2018,3,15,13,110,204,647,323,28,754,574,82,245,672,155,57,12,344,4,98,934,94,127,262
2018,3,15,14,61,287,1250,348,32,496,533,49,233,828,86,12,20,311,12,86,1283,20,102,143
2018,3,15,15,41,196,877,270,24,426,172,106,131,574,315,12,20,250,4,122,1361,16,98,114
2018,3,15,16,102,98,791,418,4,364,307,159,61,1557,401,16,8,225,0,49,2402,8,69,41
2018,3,15,17,49,49,963,692,32,200,159,204,61,1385,709,4,4,106,8,57,3726,4,57,32
2018,3,15,18,61,61,520,725,94,1037,422,139,82,2726,811,4,0,106,0,32,2693,12,61,36
2018,3,15,19,8,45,282,143,114,2250,397,459,41,3042,1369,0,8,32,0,24,1213,0,45,12
2018,3,15,20,4,28,151,82,36,1984,336,582,36,2017,1512,0,0,49,0,24,643,0,36,8
2018,3,15,21,4,12,90,135,36,2066,631,364,28,1668,1578,0,16,41,0,4,524,4,36,4
2018,3,15,22,8,32,90,266,32,1316,1262,295,28,1877,791,0,12,57,0,4,258,4,41,8
2018,3,15,23,12,45,90,291,20,2255,1562,463,57,881,992,8,4,82,0,16,528,8,8,4
2018,3,15,24,32,61,135,307,24,2316,1488,463,41,1148,1668,8,4,28,0,20,615,4,16,24
2018,3,16,1,49,94,143,295,41,1865,877,1020,20,1484,1955,0,4,90,0,20,635,4,8,8
2018,3,16,2,49,164,229,1197,36,2066,1914,1205,16,2296,1730,12,0,102,0,90,438,12,41,20
2018,3,16,3,303,77,471,1840,61,1738,1976,1029,73,4977,1623,4,0,118,4,69,537,4,28,8
2018,3,16,4,159,102,475,1537,65,1734,2123,1291,45,2209,1709,20,4,106,0,28,582,4,12,8
2018,3,16,5,110,229,459,1980,65,1885,3271,1246,28,737,758,4,12,135,12,36,397,4,4,0
2018,3,16,6,147,82,450,1750,94,1832,2242,692,24,1935,811,0,0,106,4,12,405,12,4,0
2018,3,16,7,192,90,340,2693,180,2148,2263,647,151,1385,2070,4,0,57,4,8,688,4,0,16
2018,3,16,8,94,69,377,1762,118,2488,1209,1123,295,1652,1410,8,4,24,0,32,287,8,24,16
2018,3,16,9,57,53,426,1623,82,3103,14940,983,90,1152,799,8,4,61,4,53,364,8,4,12
2018,3,16,10,86,82,533,1545,237,14612,4858,1205,90,1557,951,4,8,45,8,53,250,0,16,4
2018,3,16,11,86,57,1094,4473,213,10659,3981,1881,90,4792,1734,0,0,24,0,45,627,0,0,0
2018,3,16,12,4,57,73,3817,102,3985,2025,3546,102,5694,676,0,8,45,0,143,729,12,0,4
2018,3,16,13,311,20,647,5133,82,1791,819,7490,69,3292,1336,0,0,20,0,364,2476,4,0,98
2018,3,16,14,356,0,3366,2956,16,668,405,1037,20,2939,537,32,0,16,0,168,1324,16,12,869
2018,3,16,15,118,0,1779,1721,57,557,291,131,4,3603,262,8,8,0,0,28,1562,45,8,737
2018,3,16,16,45,4,4903,746,8,561,438,164,4,2787,168,0,0,4,0,16,1516,0,4,680
2018,3,16,17,98,12,7912,1160,16,381,590,114,20,1537,139,0,8,0,0,32,2123,0,4,131
2018,3,16,18,668,69,7613,856,12,446,188,188,8,1176,168,0,20,4,0,12,1012,0,0,8
2018,3,16,19,348,176,5547,1066,16,639,172,12,45,2103,45,0,4,73,0,16,373,0,4,8
2018,3,16,20,90,164,3197,881,61,979,110,57,77,2566,77,24,24,438,0,61,967,4,32,90
2018,3,16,21,122,291,2902,860,20,200,28,20,16,1820,53,41,57,356,0,102,1639,0,8,82
2018,3,16,22,164,139,1918,709,8,118,28,12,49,967,24,8,82,164,0,65,934,0,20,49
2018,3,16,23,180,188,1107,385,24,188,24,45,53,2033,28,8,36,172,0,32,450,4,16,98
2018,3,16,24,106,139,1049,299,12,28,41,16,49,750,24,20,57,204,0,8,635,4,24,28
2018,3,17,1,114,77,1598,336,0,32,24,65,192,360,8,57,8,307,0,24,930,0,28,65
2018,3,17,2,77,61,1197,282,8,82,20,180,41,647,4,73,159,270,0,32,545,57,86,69
2018,3,17,3,155,53,1750,114,0,12,24,139,16,328,0,217,225,450,24,28,143,139,172,127
2018,3,17,4,127,45,213,73,0,24,4,344,24,151,8,69,266,299,8,8,204,61,118,90
2018,3,17,5,69,28,258,41,4,24,12,36,24,110,16,41,114,127,28,12,164,57,82,73
2018,3,17,6,49,8,450,24,0,45,4,32,61,45,4,4,77,110,36,8,73,73,28,102
2018,3,17,7,82,32,582,28,8,20,4,24,20,143,16,20,53,86,16,12,127,77,102,131
2018,3,17,8,57,65,319,110,0,73,20,41,69,139,28,28,41,98,8,4,467,106,57,127
2018,3,17,9,77,49,291,135,0,114,49,45,32,122,77,73,49,118,12,8,192,53,61,65
2018,3,17,10,45,69,598,114,4,61,65,61,45,65,77,57,69,98,12,20,200,24,98,28
2018,3,17,11,77,106,692,90,8,143,143,53,24,41,41,57,69,94,16,8,196,36,69,28
2018,3,17,12,73,131,520,53,4,155,106,45,77,61,61,28,65,53,16,12,213,16,45,61
2018,3,17,13,41,36,635,94,12,237,90,73,36,143,45,28,49,36,28,28,225,12,24,98
2018,3,17,14,12,57,651,131,20,241,143,82,24,762,106,36,90,20,8,36,233,12,8,57
2018,3,17,15,4,86,496,184,8,131,512,49,36,1488,122,32,28,24,8,69,204,8,45,45
2018,3,17,16,8,49,541,270,49,131,549,53,24,1242,139,24,16,69,0,57,200,20,16,20
2018,3,17,17,12,32,594,241,12,106,405,110,12,824,114,12,16,32,8,8,172,28,16,12
2018,3,17,18,16,24,610,82,20,434,537,192,16,278,94,4,4,41,4,20,98,16,16,16
2018,3,17,19,45,45,438,69,36,258,705,24,16,57,53,0,4,172,0,12,20,8,16,32
2018,3,17,20,282,131,278,164,24,328,869,45,0,57,36,12,28,258,0,4,69,4,12,24
2018,3,17,21,446,147,262,245,32,323,348,45,4,4,12,77,32,377,0,0,45,4,4,36
2018,3,17,22,455,315,196,541,28,664,139,98,12,53,32,131,135,418,0,8,45,8,12,41
2018,3,17,23,360,188,241,574,28,409,94,209,32,41,41,131,86,459,0,0,16,12,28,28
2018,3,17,24,303,200,278,557,24,254,77,282,77,28,61,176,77,307,0,12,16,20,24,57
2018,3,18,1,287,176,409,368,73,368,122,287,53,28,155,155,110,295,0,41,36,20,32,45
2018,3,18,2,221,266,631,364,32,602,94,213,65,57,131,155,118,426,8,24,45,41,32,53
2018,3,18,3,196,278,848,356,16,770,77,106,53,77,110,147,106,352,4,12,57,32,28,69
2018,3,18,4,332,241,1053,377,36,729,159,61,32,241,94,213,102,311,0,12,65,20,12,45
2018,3,18,5,381,258,717,459,28,504,397,49,61,340,20,151,61,241,0,8,36,28,32,36
2018,3,18,6,368,151,471,336,16,340,397,41,24,200,127,118,65,127,8,168,20,28,24,28
2018,3,18,7,155,180,245,377,28,258,315,131,36,110,131,65,86,73,0,319,12,41,36,28
2018,3,18,8,77,143,274,479,45,225,200,225,41,299,135,69,110,82,4,147,57,24,86,53
2018,3,18,9,49,57,159,360,28,221,180,537,49,561,65,32,86,77,12,45,86,8,82,41
2018,3,18,10,49,65,192,155,4,434,204,282,53,405,127,53,28,53,8,61,102,20,41,24
2018,3,18,11,12,77,114,57,0,237,180,57,98,332,164,8,24,20,0,73,73,8,28,16
2018,3,18,12,16,61,98,61,20,262,98,28,41,315,155,20,16,57,4,49,65,20,12,24
2018,3,18,13,20,61,69,110,4,397,127,147,32,217,213,4,12,90,8,28,151,16,41,41
2018,3,18,14,8,159,77,209,8,344,77,73,41,241,409,20,16,106,4,53,295,8,12,4
2018,3,18,15,16,135,61,233,4,176,86,139,36,155,229,8,4,20,0,28,147,8,24,53
2018,3,18,16,20,82,196,315,12,65,278,94,41,106,135,8,0,69,4,28,344,12,28,41
2018,3,18,17,4,16,176,262,16,106,438,168,28,90,94,4,12,57,4,24,155,0,28,12
2018,3,18,18,16,49,233,446,16,414,426,143,77,192,69,0,8,118,4,20,196,8,20,0
2018,3,18,19,24,32,237,258,53,631,450,323,32,143,151,0,0,45,4,28,151,16,16,24
2018,3,18,20,61,20,287,340,24,328,344,479,45,176,151,4,4,32,0,8,409,12,28,4
2018,3,18,21,53,41,98,1066,24,586,262,606,36,188,122,16,4,8,0,41,90,24,36,8
2018,3,18,22,16,73,61,754,12,463,245,463,24,98,98,16,28,32,4,90,82,8,36,0
2018,3,18,23,16,90,90,397,8,291,233,184,24,94,77,36,36,127,0,114,57,0,16,12
2018,3,18,24,28,127,77,438,8,475,291,287,49,196,127,0,0,188,12,151,86,36,32,12
2018,3,19,1,49,57,114,381,16,442,151,233,94,151,221,57,8,151,24,122,49,118,53,28
2018,3,19,2,53,225,114,348,28,328,143,258,368,188,188,36,41,459,32,151,57,49,73,20
2018,3,19,3,45,135,172,479,41,438,168,340,254,127,303,262,45,221,53,164,69,57,77,49
2018,3,19,4,110,172,184,487,57,385,245,143,200,98,426,200,57,496,69,131,102,61,159,73
2018,3,19,5,118,168,266,332,45,274,151,204,135,86,315,196,102,319,28,122,262,94,86,262
2018,3,19,6,94,127,368,225,32,303,159,196,65,159,233,73,90,147,151,69,713,16,164,528
2018,3,19,7,77,381,282,278,41,172,217,287,98,266,90,319,315,274,135,65,2148,82,110,98
2018,3,19,8,106,299,471,221,20,233,213,184,110,274,77,229,344,672,16,20,672,77,106,122
2018,3,19,9,159,889,368,303,12,245,94,176,114,319,102,225,127,947,16,102,479,57,61,41
2018,3,19,10,196,299,204,237,4,110,131,114,147,475,180,69,8,3058,8,77,381,41,65,41
2018,3,19,11,94,389,118,270,12,110,135,28,98,717,172,28,20,729,4,135,508,24,45,69
2018,3,19,12,311,401,135,131,24,49,110,36,135,602,90,8,12,159,12,118,467,12,36,24
2018,3,19,13,1139,491,159,114,4,82,151,45,176,569,94,8,36,102,4,86,434,12,41,20
2018,3,19,14,143,204,127,49,8,45,94,77,180,274,94,4,12,122,0,135,364,28,28,36
2018,3,19,15,41,122,155,106,4,24,118,82,110,221,106,4,12,61,0,176,364,20,12,45
2018,3,19,16,24,168,323,73,16,77,98,94,114,237,61,8,24,36,0,200,426,12,8,24
2018,3,19,17,28,233,537,139,41,176,180,77,151,94,57,20,4,45,0,49,323,4,8,20
2018,3,19,18,8,143,409,69,20,274,139,127,106,151,73,4,12,45,0,86,127,16,16,20
2018,3,19,19,24,106,155,225,16,164,192,184,114,94,65,0,4,57,0,73,250,8,24,110
2018,3,19,20,61,82,1078,307,12,184,57,381,49,176,90,4,8,65,12,82,557,4,12,69
2018,3,19,21,139,73,893,172,8,241,20,225,16,102,36,24,4,36,0,28,328,16,32,0
2018,3,19,22,139,28,635,151,0,90,4,118,12,20,24,36,24,12,0,8,237,24,28,20
2018,3,19,23,32,24,328,102,16,45,0,24,12,4,4,0,24,16,0,12,65,0,4,4
2018,3,19,24,20,12,41,61,4,28,0,4,4,8,0,4,24,4,4,4,32,4,16,0
2018,3,20,1,0,4,20,57,0,53,8,0,0,16,0,0,4,0,0,0,4,8,4,8
2018,3,20,2,0,0,8,20,4,28,16,0,0,12,0,4,0,0,0,4,16,0,0,8
2018,3,20,3,4,0,4,4,0,8,0,0,0,4,0,0,0,4,4,0,8,0,4,4
2018,3,20,4,0,0,8,12,0,12,4,0,0,4,0,0,8,0,0,0,28,4,0,0
2018,3,20,5,0,0,0,0,4,8,0,0,0,0,0,0,4,0,0,0,159,0,0,0
2018,3,20,6,0,0,8,0,0,8,4,0,4,0,0,0,0,0,0,0,53,0,0,0
2018,3,20,7,0,0,0,4,4,8,4,0,0,0,0,0,4,8,0,0,8,0,0,0
2018,3,20,8,0,0,8,4,0,24,8,0,0,8,0,4,8,16,0,4,12,0,0,0
2018,3,20,9,0,0,24,4,4,45,0,0,0,0,0,0,12,24,0,0,0,0,4,0
2018,3,20,10,12,0,36,16,8,8,0,0,0,192,4,0,0,0,0,0,4,0,4,0
2018,3,20,11,4,8,57,36,0,16,0,8,0,8,0,0,0,8,0,0,12,0,0,0
2018,3,20,12,4,16,118,53,0,12,0,12,4,4,4,0,0,16,4,0,8,0,4,4
2018,3,20,13,12,32,131,143,4,41,0,41,4,12,8,4,0,12,0,0,8,4,0,0
2018,3,20,14,0,114,110,254,12,98,0,65,16,8,28,0,0,16,0,4,32,0,0,4
2018,3,20,15,0,164,57,397,16,77,4,176,114,45,57,4,0,143,0,20,32,0,0,4
2018,3,20,16,4,53,90,578,24,139,12,172,131,102,61,28,45,397,0,36,24,0,12,0
2018,3,20,17,0,36,122,508,53,77,28,274,159,110,61,41,172,504,4,106,82,8,86,8
2018,3,20,18,8,8,245,217,24,405,69,143,135,200,118,32,274,684,53,65,204,36,20,86
2018,3,20,19,12,12,282,237,20,1143,32,139,73,307,98,8,200,426,90,41,229,16,12,139
2018,3,20,20,32,32,282,217,20,364,77,118,49,385,180,8,176,241,159,24,606,12,12,110
2018,3,20,21,86,69,254,323,12,217,209,168,61,455,303,32,82,254,73,8,561,20,32,82
