年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,2,3,4,0,0,4,4,0,0,8,0,0,0,4,0,0,4,0,0,0,8,,0
2018,2,3,5,0,0,0,0,0,4,0,8,4,0,0,4,4,0,0,4,0,0,,0
2018,2,3,6,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,8,0,0,,4
2018,2,3,7,0,0,8,0,0,0,0,0,0,4,8,4,12,20,4,8,0,0,0,0
2018,2,3,8,12,0,8,4,0,8,8,0,4,0,0,0,0,16,0,0,8,12,4,4
2018,2,3,9,4,12,20,8,4,12,24,4,0,12,16,12,12,24,12,16,12,4,0,20
2018,2,3,10,0,8,8,16,0,16,20,4,0,16,12,8,20,16,0,0,4,8,12,8
2018,2,3,11,8,4,20,32,4,4,360,8,4,12,4,8,4,16,12,8,8,12,16,4
2018,2,3,12,4,8,28,24,8,4,28,12,0,4,16,12,8,16,4,12,8,8,16,12
2018,2,3,13,12,8,36,8,0,0,20,20,0,8,16,4,4,16,0,4,0,4,12,4
2018,2,3,14,8,16,24,0,0,0,16,0,4,0,12,8,8,32,0,16,8,8,8,12
2018,2,3,15,4,20,12,20,0,8,12,4,8,4,12,0,8,32,0,16,0,12,12,0
2018,2,3,16,8,12,24,16,4,8,12,8,0,12,32,24,8,4,4,12,4,20,16,16
2018,2,3,17,4,12,36,16,4,12,8,12,8,12,36,12,24,12,16,16,4,8,4,8
2018,2,3,18,12,12,32,28,0,16,4,4,8,24,28,20,4,32,4,41,4,24,12,16
2018,2,3,19,0,16,28,24,4,4,0,12,0,0,24,16,16,36,4,28,0,24,8,8
2018,2,3,20,8,16,4,16,0,0,0,24,16,4,16,20,8,36,8,16,0,8,20,20
2018,2,3,21,12,24,4,12,4,4,0,8,8,8,24,16,16,20,0,16,4,12,12,16
2018,2,3,22,0,16,4,12,0,4,4,8,4,4,0,12,12,16,0,0,4,12,0,4
2018,2,3,23,0,20,4,8,0,0,0,0,4,0,0,4,4,20,0,0,0,8,4,4
2018,2,3,24,0,24,4,12,0,0,0,0,16,0,0,4,12,4,0,0,0,4,8,0
2018,2,4,1,0,20,4,4,0,0,0,0,0,4,0,8,8,4,4,0,0,4,,8
2018,2,4,2,4,20,4,16,0,0,0,8,4,0,0,4,12,8,0,0,4,4,,4
2018,2,4,3,4,16,4,12,0,0,0,4,0,4,0,4,0,4,0,4,0,4,,4
2018,2,4,4,0,20,8,0,0,0,4,0,0,0,4,4,0,8,0,8,0,0,,8
2018,2,4,5,4,16,4,8,4,0,0,0,0,0,0,0,4,0,0,0,0,0,,4
2018,2,4,6,0,16,0,12,0,4,0,0,4,0,4,0,0,0,0,0,0,0,,0
2018,2,4,7,0,8,4,0,8,0,0,4,0,0,0,8,24,12,0,12,0,0,,8
2018,2,4,8,0,24,12,0,12,4,0,4,0,8,0,4,8,28,0,8,0,0,4,0
2018,2,4,9,0,12,4,12,0,0,0,0,0,0,12,0,8,12,0,4,16,0,0,12
2018,2,4,10,4,12,12,16,0,0,12,12,4,8,4,4,8,8,0,4,4,4,8,0
2018,2,4,11,0,4,4,4,4,0,4,12,0,0,0,0,4,4,4,12,4,8,0,8
2018,2,4,12,0,4,4,8,4,0,16,4,8,4,8,0,0,4,4,4,0,4,0,12
2018,2,4,13,8,0,12,8,0,0,4,0,0,4,0,4,4,4,0,12,8,4,4,4
2018,2,4,14,0,8,0,4,4,4,8,0,0,12,0,4,4,12,0,0,4,8,4,0
2018,2,4,15,0,0,8,8,4,0,0,0,0,8,4,4,4,8,0,4,12,0,8,0
2018,2,4,16,24,8,4,12,4,0,4,0,0,4,4,0,0,4,0,4,4,0,8,0
2018,2,4,17,4,8,16,4,4,0,4,4,8,12,20,0,4,12,4,0,4,8,12,4
2018,2,4,18,8,4,4,8,0,0,12,16,4,8,8,0,8,12,0,4,8,0,4,12
2018,2,4,19,0,4,0,8,0,8,0,16,12,12,0,0,0,4,4,12,0,0,0,16
2018,2,4,20,0,8,4,20,4,20,4,4,12,8,16,4,4,12,0,0,4,0,8,4
2018,2,4,21,0,32,4,4,0,0,8,8,4,0,0,4,0,16,4,0,12,4,4,8
2018,2,4,22,4,32,0,8,4,0,8,16,0,12,0,0,4,12,0,4,12,4,,0
2018,2,4,23,0,12,0,0,0,0,8,12,4,4,0,0,0,8,0,0,8,0,,0
2018,2,4,24,4,16,0,0,0,8,0,49,0,0,0,12,0,8,4,8,0,0,,4
2018,2,5,1,0,8,0,0,0,4,4,0,0,0,4,0,0,8,0,4,0,0,,0
