年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,旧笠間支所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2016,3,4,3,57,49,61,49,24,4,28,28,28,385,8,41,102,4,127,53,,24,176,262
2016,3,4,4,53,32,61,57,57,4,32,16,49,270,16,36,65,8,57,45,,53,122,237
2016,3,4,5,61,32,49,28,102,0,53,16,36,135,24,32,61,0,12,61,,57,57,155
2016,3,4,6,65,61,61,12,20,8,24,12,24,176,36,20,45,4,0,16,,32,12,90
2016,3,4,7,16,12,28,45,61,0,196,20,36,278,65,8,32,0,16,16,,45,28,114
2016,3,4,8,57,41,77,28,32,0,98,49,57,229,98,8,20,61,32,49,,24,28,688
2016,3,4,9,102,94,213,49,73,0,94,49,41,184,86,8,82,188,176,20,,20,69,368
2016,3,4,10,118,94,266,16,184,8,332,,8,114,90,57,299,483,176,16,,20,69,668
2016,3,4,11,73,147,348,86,102,8,36,73,12,73,24,270,356,221,336,24,,20,311,709
2016,3,4,12,20,69,287,102,65,61,41,45,41,139,49,340,262,127,274,12,,114,500,401
2016,3,4,13,,65,229,86,135,53,32,41,53,106,16,131,196,282,102,16,,118,311,512
2016,3,4,14,,122,184,94,143,122,102,49,73,73,28,94,94,164,139,32,,86,188,348
2016,3,4,15,16,77,159,221,209,106,102,49,77,98,28,102,135,77,155,12,,184,282,151
2016,3,4,16,24,41,270,180,496,110,110,24,106,94,53,32,45,77,291,20,,262,291,151
2016,3,4,17,20,8,151,200,311,221,295,45,102,176,53,49,57,41,180,8,,209,225,69
2016,3,4,18,16,28,86,151,459,487,352,143,36,155,16,28,12,24,65,12,,102,118,65
2016,3,4,19,20,12,65,172,426,233,348,364,36,262,12,4,4,20,28,20,,57,36,82
2016,3,4,20,16,4,20,143,262,131,86,196,24,237,20,8,8,4,16,16,,12,12,69
2016,3,4,21,4,4,20,77,180,65,36,176,4,168,28,0,4,16,8,4,,8,20,90
2016,3,4,22,8,4,8,127,159,65,69,184,12,106,41,12,8,4,4,0,,16,20,213
2016,3,4,23,32,8,16,90,266,36,180,172,8,57,45,4,12,20,0,8,,4,4,73
2016,3,4,24,12,12,41,86,274,4,213,98,0,45,65,4,4,8,0,8,,0,16,86
2016,3,5,1,24,0,28,147,377,16,221,53,0,65,65,0,0,57,20,8,,4,28,131
2016,3,5,2,16,16,61,155,549,4,192,61,8,389,229,12,12,28,0,12,,0,4,295
2016,3,5,3,24,16,102,225,770,0,217,65,20,701,114,4,20,12,20,0,,8,49,172
2016,3,5,4,73,16,114,270,528,8,180,28,20,729,77,4,24,28,0,36,,4,28,180
2016,3,5,5,73,36,131,250,332,4,336,0,20,590,221,16,24,4,0,61,,4,12,118
2016,3,5,6,61,16,151,278,98,8,245,0,73,368,569,36,65,41,0,49,,8,36,118
2016,3,5,7,94,28,122,217,24,0,106,0,61,200,512,0,20,20,4,45,,0,65,98
2016,3,5,8,77,16,151,127,61,8,192,4,61,221,373,16,12,20,41,57,,16,77,291
2016,3,5,9,94,32,172,94,57,0,122,45,36,82,90,36,65,151,65,36,,16,139,414
2016,3,5,10,102,65,323,77,106,0,122,180,32,131,45,36,90,188,221,73,,28,209,500
2016,3,5,11,61,49,323,45,266,4,57,98,45,258,53,20,192,159,188,57,,16,172,479
2016,3,5,12,65,57,397,36,90,12,106,127,28,135,73,45,57,73,254,16,,0,258,172
2016,3,5,13,28,73,237,110,61,41,61,61,36,98,53,36,250,180,164,16,,20,299,69
2016,3,5,14,65,102,196,188,147,98,45,53,32,65,41,24,110,237,20,0,,24,356,49
2016,3,5,15,41,61,122,147,254,110,45,41,69,110,53,65,73,168,151,4,,73,520,98
2016,3,5,16,28,36,98,118,299,61,127,41,69,53,28,57,147,164,151,28,,77,569,118
2016,3,5,17,24,16,114,73,311,41,155,28,61,122,32,28,114,49,36,20,,118,209,229
2016,3,5,18,16,0,86,36,180,24,45,237,41,94,32,16,127,16,12,24,,36,122,491
2016,3,5,19,36,8,98,24,102,28,164,389,4,61,4,0,36,8,20,32,,32,86,356
2016,3,5,20,4,4,73,36,98,32,61,16,36,122,20,0,16,8,36,8,,12,12,258
2016,3,5,21,12,4,114,45,118,0,82,0,4,49,4,0,20,8,4,4,,0,16,545
2016,3,5,22,16,0,69,32,106,0,8,0,16,184,12,4,4,16,8,8,,0,12,430
2016,3,5,23,4,4,32,61,53,0,0,0,4,196,20,12,8,12,12,0,,,4,233
2016,3,5,24,24,4,32,32,12,0,0,,20,110,8,12,8,20,4,4,,8,16,151
2016,3,6,1,53,4,41,24,12,0,0,0,8,114,45,8,16,28,4,8,,4,20,61
2016,3,6,2,8,24,184,32,20,0,0,0,4,57,45,4,4,151,12,4,,0,16,82
2016,3,6,3,61,8,139,20,16,0,0,0,12,94,28,8,4,57,28,16,,0,36,61
2016,3,6,4,16,20,36,20,12,0,0,0,16,32,12,8,4,8,8,12,,0,53,0
2016,3,6,5,,,,,,,,,,,,,,,,,,,,
2016,3,6,6,,,,,,,,,,,,,,,,,,,,
2016,3,6,7,,,,,,,,,,,,,,,,,,,,
2016,3,6,8,,,,,,,,,,,,,,,,,,,,
2016,3,6,9,,,,,,,,,,,,,,,,,,,,
2016,3,6,10,,,,,,,,,,,,,,,,,,,,
2016,3,6,11,,,,,,,,,,,,,,,,,,,,
2016,3,6,12,,,,,,,,,,,,,,,,,,,,
2016,3,6,13,,,,,,,,,,,,,,,,,,,,
2016,3,6,14,,,,,,,,,,,,,,,,,,,,
2016,3,6,15,,,,,,,,,,,,,,,,,,,,
2016,3,6,16,,,,,,,,,,,,,,,,,,,,
2016,3,6,17,,,,,,,,,,,,,,,,,,,,
2016,3,6,18,,,,,,,,,,,,,,,,,,,,
2016,3,6,19,,,,,,,,,,,,,,,,,,,,
2016,3,6,20,,,,,,,,,,,,,,,,,,,,
2016,3,6,21,,,,,,,,,,,,,,,,,,,,
2016,3,6,22,,,,,,,,,,,,,,,,,,,,
2016,3,6,23,,,,,,,,,,,,,,,,,,,,
2016,3,6,24,,,,,,,,,,,,,,,,,,,,
2016,3,7,1,,,,,,,,,,,,,,,,,,,,
2016,3,7,2,,,,,,,,,,,,,,,,,,,,
2016,3,7,3,,,,,,,,,,,,,,,,,,,,
2016,3,7,4,,,,,,,,,,,,,,,,,,,,
2016,3,7,5,,,,,,,,,,,,,,,,,,,,
2016,3,7,6,,,,,,,,,,,,,,,,,,,,
2016,3,7,7,,,,,,,,,,,,,,,,,,,,
2016,3,7,8,,,,,,,,,,,,,,,,,,,,
2016,3,7,9,,,,,,,,,,,,,,,,,,,,
2016,3,7,10,,,,,,,,,,,,,,,,,,,,
2016,3,7,11,,,,,,,,,,,,,,,,,,,,
2016,3,7,12,0,0,4,0,340,0,131,176,0,4,32,0,0,0,0,0,,4,4,4
2016,3,7,13,0,0,12,24,12,0,90,200,0,0,53,0,0,0,0,8,,4,8,4
2016,3,7,14,0,0,45,4,28,0,61,94,0,8,65,0,0,0,0,0,28,0,16,0
2016,3,7,15,0,4,82,4,20,4,65,,8,4,28,0,0,0,0,0,0,0,106,0
2016,3,7,16,0,16,28,4,0,0,49,8,0,0,8,8,0,4,4,0,0,0,4,0
2016,3,7,17,0,20,36,0,0,0,110,8,0,0,0,0,0,4,4,0,0,0,4,0
2016,3,7,18,8,16,16,0,4,0,12,0,4,0,12,0,28,16,4,0,0,0,0,0
2016,3,7,19,12,12,8,0,0,0,4,0,4,0,8,0,0,28,12,0,0,4,0,0
2016,3,7,20,8,4,8,4,0,0,0,0,0,0,12,12,0,12,8,0,0,0,8,0
2016,3,7,21,4,12,12,0,0,0,4,0,0,0,8,8,0,0,4,0,0,0,4,0
2016,3,7,22,12,8,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8,0
2016,3,7,23,4,0,4,0,0,0,0,0,4,0,131,0,0,0,0,0,0,0,8,0
2016,3,7,24,0,0,0,4,0,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0
2016,3,8,1,0,0,0,0,0,0,12,0,8,0,0,4,4,0,0,0,0,0,0,0
2016,3,8,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,0
2016,3,8,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0
2016,3,8,4,0,0,0,4,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0
2016,3,8,5,0,0,0,8,0,0,127,8,0,0,4,0,0,0,0,0,0,0,0,0
2016,3,8,6,0,4,0,0,0,0,360,12,0,0,0,4,4,0,0,0,0,0,8,0
2016,3,8,7,0,4,0,0,0,0,77,8,4,4,20,0,0,0,0,0,0,4,0,12
2016,3,8,8,8,4,0,0,0,0,209,110,0,24,57,0,0,4,0,0,24,4,0,24
2016,3,8,9,4,4,12,0,28,0,619,77,4,36,295,0,4,4,0,4,28,0,45,82
2016,3,8,10,4,8,28,8,16,8,323,463,8,45,184,12,8,82,24,4,45,0,49,258
2016,3,8,11,4,24,270,57,65,155,90,824,0,106,127,8,4,287,41,0,12,0,151,373
2016,3,8,12,36,114,541,12,1025,151,36,1234,12,118,164,8,4,512,213,0,69,0,12,963
2016,3,8,13,155,397,520,41,319,127,77,557,24,86,225,16,4,938,209,32,41,16,28,1955
2016,3,8,14,217,688,1082,94,319,114,57,307,16,110,82,0,4,1020,114,20,77,102,61,553
2016,3,8,15,483,266,1312,254,651,94,172,98,28,213,53,8,4,1615,45,49,36,61,69,213
2016,3,8,16,557,479,2419,225,606,221,401,114,36,200,45,4,4,701,438,12,94,28,24,295
2016,3,8,17,262,401,1094,118,520,110,504,15399,36,102,77,4,32,278,241,20,77,24,36,344
2016,3,8,18,274,491,2345,204,491,12,1488,,45,90,102,20,204,118,82,4,73,28,41,373
2016,3,8,19,274,553,2705,204,5457,4,1225,2890,45,615,180,159,106,90,73,20,41,217,110,418
2016,3,8,20,906,164,3148,2771,5006,356,865,1258,122,319,479,368,118,12,250,143,12,274,245,155
2016,3,8,21,2800,90,7511,2041,1877,426,471,,106,328,352,82,303,8,319,98,36,229,196,32
2016,3,8,22,1230,86,9417,1209,5395,221,373,1451,57,1762,418,131,405,12,114,278,16,245,106,20
2016,3,8,23,2460,159,6465,1061,1287,192,651,1906,155,7474,344,254,467,0,209,299,28,90,278,172
2016,3,8,24,2804,373,5284,791,1000,73,963,2365,332,6231,434,65,475,0,118,471,237,12,291,45
2016,3,9,1,1996,147,2439,947,988,53,766,1857,368,6108,434,4,172,0,73,245,471,131,684,20
2016,3,9,2,2910,250,2898,1111,1377,8,717,2123,336,4428,397,0,16,0,12,155,557,373,442,192
2016,3,9,3,2833,717,3197,1414,721,53,586,2132,315,3329,1131,16,16,41,16,151,615,332,20,1016
2016,3,9,4,2517,623,1783,1123,803,57,364,,389,3156,1221,94,176,533,20,217,204,155,69,1533
2016,3,9,5,2123,660,852,918,1074,24,344,,405,1422,1045,135,385,947,8,143,168,172,147,311
2016,3,9,6,471,1049,4637,1066,1627,45,672,1258,557,1496,1012,118,627,664,86,151,135,90,348,332
2016,3,9,7,467,340,3193,1348,1906,20,459,307,487,1582,1000,237,676,869,221,168,110,139,578,1578
2016,3,9,8,204,295,1365,131,237,4,20,86,401,1258,479,82,1578,602,323,139,147,184,1471,774
2016,3,9,9,131,106,569,65,49,0,4,20,135,1398,164,45,1316,389,172,90,639,528,709,791
2016,3,9,10,61,98,114,4,8,0,12,4,196,385,106,65,1209,664,69,41,282,455,426,1283
2016,3,9,11,16,90,82,4,0,0,53,0,131,139,45,20,1279,282,73,53,41,200,168,541
2016,3,9,12,12,41,4,8,0,-9998,114,,86,225,0,20,844,122,180,20,36,86,114,32
2016,3,9,13,0,36,8,0,4,-9998,20,4,32,114,4,4,471,127,155,0,16,4,16,0
2016,3,9,14,0,8,12,4,4,-9998,0,0,4,20,0,8,114,53,118,0,12,0,8,8
2016,3,9,15,8,4,12,8,4,-9998,0,0,0,4,0,0,8,0,16,0,0,0,0,8
2016,3,9,16,4,0,0,0,-9998,-9998,0,0,0,4,4,4,0,0,4,0,8,0,12,0
2016,3,9,17,0,0,4,0,-9998,-9998,0,8,0,0,0,0,0,4,0,0,0,4,0,0
2016,3,9,18,0,0,4,-9998,-9998,-9998,0,,0,4,0,0,0,0,0,0,0,0,0,12
2016,3,9,19,0,0,0,-9998,-9998,-9998,0,0,0,0,0,0,0,4,0,0,0,0,0,8
2016,3,9,20,-9998,0,-9998,-9998,-9998,-9998,4,,12,0,0,0,0,4,0,0,0,0,0,0
2016,3,9,21,-9998,0,-9998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,9,22,0,-9998,4,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0
2016,3,9,23,-9998,-9998,-9998,0,0,8,0,,0,0,0,0,0,0,0,0,0,4,0,0
2016,3,9,24,0,-9998,0,0,0,0,0,,0,4,0,4,4,0,4,0,0,0,0,0
2016,3,10,1,4,0,0,16,8,0,0,0,4,0,0,0,4,0,0,0,4,0,0,20
2016,3,10,2,0,0,41,16,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,36
2016,3,10,3,12,0,143,53,41,0,0,0,4,8,0,4,4,0,0,0,8,0,0,73
2016,3,10,4,41,4,430,127,106,0,0,12,4,0,0,0,4,0,4,0,4,4,4,122
2016,3,10,5,237,16,1049,196,168,0,8,118,0,0,0,0,4,45,8,8,4,0,12,143
2016,3,10,6,545,69,1004,254,176,0,147,135,4,0,16,8,8,32,8,4,4,4,12,204
2016,3,10,7,569,168,983,229,213,0,245,430,16,4,20,36,16,90,24,12,0,4,28,143
2016,3,10,8,897,180,992,332,307,0,98,660,12,36,98,28,77,147,36,4,12,8,16,237
2016,3,10,9,651,69,1148,446,344,4,204,578,24,94,77,65,69,184,57,12,20,8,57,131
2016,3,10,10,615,110,2353,455,635,0,393,869,36,147,176,41,135,274,32,36,41,8,28,53
2016,3,10,11,504,151,2357,422,516,4,651,963,28,258,147,32,143,176,49,32,36,4,32,118
2016,3,10,12,635,303,2599,590,705,0,643,1430,32,594,307,41,213,172,32,16,53,12,41,98
2016,3,10,13,639,328,2595,467,615,0,918,1775,16,475,668,86,356,77,57,45,94,4,90,98
2016,3,10,14,504,172,2652,299,545,4,1512,1508,41,397,1160,102,168,73,82,16,180,12,143,159
2016,3,10,15,500,135,1410,348,446,8,988,1475,61,746,819,57,131,114,41,28,213,61,278,262
2016,3,10,16,270,172,1570,389,254,20,483,1152,24,287,598,32,192,131,24,49,274,94,262,237
2016,3,10,17,418,110,1184,389,237,0,250,426,106,209,49,12,315,73,32,12,139,53,262,217
2016,3,10,18,262,131,1131,311,426,4,221,623,155,319,8,49,196,204,77,57,106,65,172,172
2016,3,10,19,278,122,1127,266,409,16,377,184,102,151,49,16,229,250,28,24,61,106,127,82
2016,3,10,20,225,86,971,188,-9998,32,270,422,65,213,86,28,291,135,82,12,69,36,98,106
2016,3,10,21,118,135,729,319,-9998,86,53,118,110,245,61,24,368,176,94,41,110,69,221,225
2016,3,10,22,155,90,627,360,-9998,41,16,151,65,241,24,28,254,209,86,45,36,131,188,368
2016,3,10,23,118,57,409,258,-9998,-9998,-9998,-9998,192,274,-9998,28,258,139,90,12,45,122,270,65
2016,3,10,24,114,24,434,90,-9998,73,-9998,-9998,57,287,-9998,20,86,122,77,49,8,106,135,16
2016,3,11,1,73,28,241,16,-9998,12,8,,98,139,-9998,0,139,94,41,20,4,53,106,4
2016,3,11,2,16,16,94,4,4,0,0,24,28,-9998,0,32,69,102,24,45,8,12,24,12
2016,3,11,3,20,24,49,0,20,0,0,90,24,24,-9998,36,41,106,8,16,8,12,41,0
2016,3,11,4,16,12,94,4,4,4,0,41,32,12,-9998,82,36,12,4,4,0,12,28,0
2016,3,11,5,20,24,41,0,4,0,0,94,16,8,0,12,36,24,0,4,0,16,53,4
2016,3,11,6,41,8,12,4,0,0,16,77,16,69,0,20,28,32,20,4,12,4,36,0
2016,3,11,7,65,4,12,8,0,0,4,36,16,-9998,0,4,41,20,12,4,-9998,4,16,4
2016,3,11,8,41,0,36,-9998,0,4,12,16,0,12,0,0,36,4,8,4,0,8,8,4
2016,3,11,9,94,16,106,4,36,0,8,,0,-9998,0,0,28,45,4,0,8,0,8,4
2016,3,11,10,102,20,299,0,4,4,24,16,8,-9998,4,0,41,69,4,-9998,-9998,0,0,0
2016,3,11,11,82,8,241,16,8,0,16,28,8,12,41,4,41,73,8,4,4,4,8,4
2016,3,11,12,61,4,225,12,4,0,213,57,0,0,106,8,28,53,20,8,0,0,4,8
2016,3,11,13,73,0,233,36,77,0,200,36,0,0,4,4,86,8,12,12,4,0,57,12
2016,3,11,14,143,0,159,61,36,20,8,77,4,0,0,4,90,16,0,12,0,0,12,4
2016,3,11,15,159,4,303,65,619,4,8,49,0,8,4,4,32,4,8,12,0,8,16,20
2016,3,11,16,151,12,274,45,28,4,8,86,16,12,4,4,16,0,0,8,0,4,24,16
2016,3,11,17,94,24,225,110,53,0,28,4,12,24,0,0,24,8,8,8,0,0,20,0
2016,3,11,18,172,4,213,82,28,0,28,0,16,20,4,4,16,8,8,4,0,4,24,0
2016,3,11,19,332,8,450,102,20,0,20,0,16,12,4,4,20,12,0,12,0,12,16,0
2016,3,11,20,241,8,258,57,90,0,8,8,4,41,8,0,8,8,0,4,4,8,4,0
2016,3,11,21,241,16,250,209,-9998,0,20,4,0,12,0,0,8,0,4,4,8,8,4,0
2016,3,11,22,135,16,340,209,-9998,0,36,0,0,12,8,4,4,0,4,0,4,0,12,0
2016,3,11,23,127,49,303,213,-9998,0,16,0,8,16,4,16,8,4,0,0,4,0,4,4
2016,3,11,24,118,45,172,73,-9998,0,12,0,4,16,8,20,16,4,8,12,8,0,8,8
2016,3,12,1,45,16,86,12,8,0,20,4,12,24,0,45,65,8,0,16,8,4,61,24
2016,3,12,2,49,24,102,8,-9998,0,0,12,20,12,8,20,57,8,49,8,8,4,65,28
2016,3,12,3,36,8,65,12,4,0,4,16,20,36,12,12,45,12,36,16,0,24,32,28
2016,3,12,4,45,4,262,4,0,-9998,0,12,12,32,4,8,16,20,53,8,0,8,16,16
2016,3,12,5,4,16,836,0,36,0,4,4,8,49,0,24,16,4,20,8,4,8,65,28
2016,3,12,6,4,16,549,4,-9998,0,0,16,0,4,4,20,24,4,16,4,0,8,32,114
2016,3,12,7,16,4,69,4,73,0,12,4,12,69,0,12,24,8,32,8,16,4,20,82
2016,3,12,8,49,36,164,8,237,0,20,49,4,16,0,4,36,32,45,12,0,12,36,270
2016,3,12,9,28,61,368,65,405,-9998,-9998,53,28,73,0,16,28,53,36,28,4,20,61,348
2016,3,12,10,49,24,209,20,200,8,0,49,57,127,0,8,98,49,57,4,16,12,110,213
2016,3,12,11,49,53,438,53,65,-9998,24,-9998,28,36,24,16,159,20,53,28,20,8,82,122
2016,3,12,12,24,8,574,53,122,0,20,4,16,65,0,4,122,32,69,16,24,12,69,135
2016,3,12,13,28,49,418,20,237,-9998,20,,16,57,28,4,98,24,28,24,20,36,139,106
2016,3,12,14,28,20,373,20,196,8,24,0,24,57,45,4,102,0,8,8,12,20,65,82
2016,3,12,15,24,24,188,82,258,12,49,8,24,45,172,0,57,0,4,8,16,12,53,53
2016,3,12,16,4,12,204,164,368,0,32,12,36,32,77,0,32,24,0,24,32,57,24,110
2016,3,12,17,41,8,114,61,1344,0,217,8,36,77,12,4,36,16,16,8,57,4,36,94
2016,3,12,18,12,4,122,82,467,0,53,32,20,53,36,4,41,8,8,16,41,0,41,53
2016,3,12,19,32,0,139,61,414,0,57,28,16,61,32,0,32,4,0,4,49,8,28,86
2016,3,12,20,45,4,110,61,180,0,90,4,0,139,28,0,8,12,16,8,36,4,0,53
2016,3,12,21,53,0,110,61,-9998,-9998,86,8,4,82,41,4,0,8,8,4,49,12,8,28
2016,3,12,22,36,0,106,69,86,4,12,4,16,61,41,0,0,8,12,32,12,0,12,53
2016,3,12,23,28,4,65,69,69,0,28,0,12,32,45,0,24,4,0,16,24,0,8,24
2016,3,12,24,8,12,73,61,73,-9998,57,8,16,28,102,4,12,4,0,16,12,0,24,28
2016,3,13,1,24,4,53,73,20,0,86,0,16,28,20,8,16,4,0,12,28,4,4,49
2016,3,13,2,20,0,73,32,28,0,73,8,16,12,16,16,8,0,0,0,20,8,4,53
2016,3,13,3,20,4,49,12,12,0,73,41,24,57,41,8,0,4,0,0,16,0,32,28
2016,3,13,4,32,4,57,12,0,0,61,16,12,98,28,4,8,4,0,12,8,0,28,12
2016,3,13,5,16,0,20,28,8,0,73,28,8,118,36,8,0,4,0,4,4,4,24,28
2016,3,13,6,16,0,45,16,8,0,86,4,12,102,20,12,8,4,0,12,12,0,36,16
2016,3,13,7,24,4,32,28,24,0,69,12,0,102,16,0,8,4,0,8,4,0,24,4
2016,3,13,8,20,12,20,32,24,0,65,8,4,118,45,8,8,16,12,0,8,8,102,36
2016,3,13,9,12,4,94,41,32,0,73,20,16,127,86,12,8,32,4,45,12,4,69,45
2016,3,13,10,16,0,69,20,106,0,61,20,86,73,61,0,65,41,16,53,12,4,90,94
2016,3,13,11,16,12,41,28,151,4,24,16,8,98,20,8,16,4,0,32,0,4,49,127
2016,3,13,12,24,8,41,16,172,4,24,8,41,45,4,8,41,0,8,41,4,0,77,61
2016,3,13,13,24,20,49,24,647,8,28,16,28,45,8,4,4,16,8,20,12,12,41,45
2016,3,13,14,8,4,49,28,131,8,418,12,36,32,28,4,36,16,12,36,16,0,28,57
2016,3,13,15,8,20,49,12,49,16,245,24,24,45,53,4,4,16,4,20,20,12,49,155
2016,3,13,16,16,0,28,16,36,12,24,8,32,32,20,0,24,16,0,28,16,4,57,28
2016,3,13,17,20,4,45,32,36,4,926,8,24,24,20,4,16,0,0,45,8,0,24,20
2016,3,13,18,8,4,28,32,69,8,180,8,16,53,57,0,20,8,8,28,4,8,20,32
2016,3,13,19,24,0,57,8,32,8,36,16,16,16,49,0,28,4,16,8,8,0,16,8
2016,3,13,20,12,8,12,4,28,16,32,8,28,36,16,0,8,0,0,20,8,4,8,28
2016,3,13,21,4,0,16,12,8,12,65,12,0,36,8,4,0,0,4,4,20,0,4,73
2016,3,13,22,16,0,77,20,12,0,32,28,12,24,8,0,4,4,0,0,8,0,12,94
2016,3,13,23,0,4,32,0,0,0,49,4,8,36,0,0,12,8,12,8,24,0,16,168
2016,3,13,24,0,0,98,16,4,12,45,12,12,90,4,0,8,0,8,4,28,0,4,102
2016,3,14,1,0,4,8,0,12,16,24,16,4,159,20,0,4,0,4,0,8,0,8,49
2016,3,14,2,0,4,90,8,8,4,32,28,0,196,16,4,4,12,4,8,24,0,12,36
2016,3,14,3,0,0,49,4,8,20,36,32,4,188,16,0,0,4,12,8,12,0,20,32
2016,3,14,4,8,4,45,8,28,90,69,8,4,102,12,4,0,0,0,4,24,4,8,16
2016,3,14,5,16,4,32,20,12,49,32,36,20,45,16,8,0,4,4,16,4,0,4,41
2016,3,14,6,4,8,4,4,36,36,28,-9998,4,77,8,4,0,0,12,0,0,8,32,94
2016,3,14,7,4,0,0,4,24,-9998,24,-9998,0,20,28,4,0,0,4,4,4,4,4,20
2016,3,14,8,0,0,8,16,-9998,-9998,0,,0,12,4,0,0,0,4,8,4,0,4,0
2016,3,14,9,0,0,0,0,-9998,-9998,0,-9998,0,4,0,4,0,0,8,4,4,0,0,4
2016,3,14,10,0,0,8,0,,-9998,0,-9998,0,4,0,0,4,0,8,0,0,4,0,0
2016,3,14,11,0,0,0,0,,-9998,0,-9998,0,4,0,0,0,4,0,0,0,4,12,0
2016,3,14,12,0,4,8,4,4,-9998,0,-9998,4,8,0,0,0,0,24,0,4,0,8,4
2016,3,14,13,0,0,36,0,0,-9998,4,,0,8,0,4,0,0,0,0,4,8,4,4
2016,3,14,14,4,0,135,4,0,-9998,0,,0,4,0,0,0,0,0,0,0,0,0,12
2016,3,14,15,0,0,0,4,0,-9998,0,,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,14,16,0,0,4,0,0,-9998,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2016,3,14,17,0,0,8,4,0,-9998,0,-9998,0,-9998,0,0,4,0,0,0,0,0,0,0
2016,3,14,18,0,0,0,0,0,-9998,0,-9998,0,0,-9998,0,0,4,0,0,0,0,0,-9998
2016,3,14,19,0,0,0,0,0,-9998,0,,0,0,-9998,0,0,0,8,0,0,4,0,0
2016,3,14,20,0,0,0,0,0,-9998,0,0,0,0,-9998,0,0,0,0,0,0,0,0,0
2016,3,14,21,0,0,4,0,0,-9998,0,0,0,0,-9998,4,0,0,4,0,0,0,0,8
2016,3,14,22,0,4,4,0,0,20,0,0,0,4,-9998,0,0,0,4,0,0,0,0,0
2016,3,14,23,0,0,4,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,14,24,0,0,0,8,0,12,82,82,0,0,0,0,0,0,0,0,0,0,4,0
2016,3,15,1,0,4,4,24,53,12,102,90,0,0,8,0,0,0,0,0,4,0,0,24
2016,3,15,2,0,0,12,77,192,16,143,8,0,77,8,0,0,0,0,0,8,0,4,32
2016,3,15,3,0,0,53,159,82,4,122,24,8,869,65,0,0,0,4,8,32,4,24,61
2016,3,15,4,4,41,159,229,53,155,28,36,8,1016,36,8,8,0,16,4,73,16,41,200
2016,3,15,5,12,45,389,409,172,131,16,41,4,1635,61,20,24,0,45,20,16,36,49,110
2016,3,15,6,24,65,418,213,204,-9998,8,155,8,1242,61,32,32,0,41,90,12,36,65,127
2016,3,15,7,20,65,307,278,82,45,28,90,36,1180,57,20,36,8,32,168,20,57,73,184
2016,3,15,8,102,200,602,356,82,28,8,114,41,1426,127,20,28,135,24,45,155,24,98,278
2016,3,15,9,135,155,1275,422,176,8,122,332,16,1890,262,20,65,188,24,36,172,8,102,360
2016,3,15,10,295,155,1262,204,409,4,69,545,28,2095,98,53,41,528,20,32,385,12,131,184
2016,3,15,11,405,65,701,188,151,20,41,1148,36,1693,139,0,53,377,8,110,512,53,344,307
2016,3,15,12,377,69,598,344,200,0,86,602,20,1020,196,4,28,377,45,155,434,114,799,336
2016,3,15,13,291,155,487,307,131,4,77,705,24,1340,131,20,16,270,77,164,528,98,1000,475
2016,3,15,14,164,319,332,192,32,4,65,397,36,1172,110,16,131,799,122,143,311,69,791,368
2016,3,15,15,139,250,180,98,4,16,49,,28,500,94,32,172,701,102,61,250,98,979,586
2016,3,15,16,151,159,229,164,8,4,20,,16,512,45,12,172,467,57,61,155,73,643,217
2016,3,15,17,61,200,270,94,24,12,28,65,32,303,24,41,291,442,172,4,114,82,561,537
2016,3,15,18,61,196,168,77,20,8,8,16,61,159,24,98,373,303,270,24,250,32,500,758
2016,3,15,19,98,,328,,,24,32,,,159,32,69,270,311,881,20,,69,,516
2016,3,15,20,90,168,409,94,122,4,45,,12,266,16,65,270,217,651,16,49,41,278,598
2016,3,15,21,82,65,385,127,172,16,41,32,32,438,32,53,209,164,438,12,32,45,114,385
2016,3,15,22,155,172,250,131,73,8,24,20,20,610,45,45,237,213,352,8,131,32,94,266
2016,3,15,23,143,196,147,82,90,8,4,32,8,520,20,36,311,196,164,4,41,8,94,250
2016,3,15,24,114,188,164,90,61,8,45,45,16,442,4,28,311,217,131,8,49,12,127,274
2016,3,16,1,90,200,110,110,41,0,12,41,24,479,28,61,262,311,159,20,28,12,118,245
2016,3,16,2,65,143,57,57,69,4,24,,0,463,20,65,233,328,196,8,24,12,90,192
