年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,旧笠間支所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2016,2,3,13,4,8,12,12,12,0,4,0,4,8,0,4,20,0,8,8,12,4,32,24
2016,2,3,14,4,12,12,0,0,4,8,0,4,0,8,0,4,0,0,8,16,8,28,16
2016,2,3,15,24,0,8,8,4,4,8,,32,8,4,4,8,12,12,12,8,0,69,4
2016,2,3,16,0,4,45,0,0,0,4,4,24,12,24,4,8,8,0,8,20,8,36,4
2016,2,3,17,12,12,8,0,20,4,4,8,8,12,4,8,8,12,4,8,12,4,36,20
2016,2,3,18,12,4,16,0,8,4,12,0,53,24,8,12,4,16,0,12,4,16,16,12
2016,2,3,19,0,4,16,12,24,8,8,0,24,12,16,8,4,12,24,20,12,4,4,24
2016,2,3,20,4,4,12,8,8,8,0,,16,12,4,12,4,12,8,4,0,0,24,4
2016,2,3,21,12,0,0,8,0,0,4,,12,12,8,12,4,12,4,0,0,0,16,0
2016,2,3,22,12,0,0,4,8,4,16,0,4,0,4,4,0,8,4,4,12,0,16,16
2016,2,3,23,4,0,0,0,4,0,20,0,8,8,16,4,0,0,4,4,12,0,8,4
2016,2,3,24,4,0,0,0,0,0,16,0,12,0,4,8,4,0,0,4,8,0,8,20
2016,2,4,1,0,0,0,0,0,0,0,0,24,0,4,0,4,0,0,20,0,8,28,16
2016,2,4,2,4,0,0,8,0,0,4,0,8,4,4,4,0,0,0,4,0,0,8,0
2016,2,4,3,12,4,0,0,0,0,8,0,8,4,4,0,0,0,0,12,0,0,4,4
2016,2,4,4,4,0,0,4,0,0,8,0,8,4,4,0,12,0,0,4,0,0,8,4
2016,2,4,5,4,0,0,8,0,0,8,0,20,4,4,0,4,0,0,12,0,8,4,0
2016,2,4,6,8,0,0,4,8,0,4,0,12,0,0,0,24,0,0,0,0,0,49,0
2016,2,4,7,4,0,0,4,4,0,0,0,8,0,0,4,8,0,0,24,0,8,8,8
2016,2,4,8,20,4,0,12,4,4,8,8,24,0,20,4,45,4,0,16,0,4,20,0
2016,2,4,9,8,0,16,12,4,0,12,0,36,12,8,4,28,36,8,20,24,8,28,4
2016,2,4,10,8,4,0,4,8,0,32,0,24,8,12,4,28,28,16,0,12,12,61,4
2016,2,4,11,4,8,8,8,4,0,16,4,12,0,20,12,8,4,0,4,12,0,49,12
2016,2,4,12,4,0,4,0,12,0,20,4,16,0,0,4,4,8,8,4,0,4,16,8
2016,2,4,13,4,4,0,8,8,4,53,4,32,0,0,12,4,12,4,0,8,8,28,4
2016,2,4,14,0,16,4,4,4,0,12,4,20,0,0,4,8,8,8,0,8,8,20,12
2016,2,4,15,0,4,0,20,4,0,4,4,12,4,0,12,24,4,4,4,0,0,118,8
2016,2,4,16,8,8,4,12,8,0,20,20,4,0,4,4,0,0,4,4,12,0,98,4
2016,2,4,17,12,8,4,4,12,0,20,24,8,8,8,20,0,4,12,4,4,12,127,12
2016,2,4,18,8,0,8,16,8,8,102,0,16,12,32,8,16,16,8,4,4,4,82,0
2016,2,4,19,0,16,12,8,12,0,82,24,4,12,0,4,4,0,4,8,0,4,49,4
2016,2,4,20,8,12,4,8,36,8,20,0,8,8,20,4,12,4,0,4,0,8,61,0
2016,2,4,21,41,12,12,28,16,0,12,4,8,12,12,16,4,0,0,4,0,0,12,4
2016,2,4,22,12,4,0,12,12,0,8,8,8,16,8,8,0,4,0,24,4,0,12,0
2016,2,4,23,16,0,4,4,0,0,16,0,12,0,4,4,0,0,0,4,0,8,20,0
2016,2,4,24,12,4,8,45,12,0,16,4,8,0,8,12,0,0,0,4,0,0,12,0
2016,2,5,1,8,0,4,0,0,0,4,0,36,0,0,0,0,0,4,8,4,4,16,0
2016,2,5,2,0,0,0,0,0,16,12,4,0,0,0,8,4,0,0,8,0,0,16,0
2016,2,5,3,12,0,0,0,0,4,16,0,16,0,0,0,8,4,0,12,0,0,16,4
2016,2,5,4,4,8,0,4,4,8,0,0,28,0,0,0,0,0,0,4,0,0,4,0
2016,2,5,5,4,4,8,8,4,0,12,4,12,4,0,4,8,0,0,8,4,0,12,0
2016,2,5,6,12,8,0,0,0,0,4,0,4,0,0,0,4,0,0,4,0,4,16,0
2016,2,5,7,4,20,8,8,0,0,4,0,20,0,0,4,12,4,4,0,0,0,8,0
2016,2,5,8,8,8,4,0,0,0,12,0,24,4,0,16,12,4,0,4,0,12,16,4
2016,2,5,9,24,8,0,28,41,0,8,0,28,12,0,20,8,20,0,16,20,8,12,12
2016,2,5,10,8,4,0,12,4,4,8,0,32,8,4,0,4,8,12,12,16,4,106,8
2016,2,5,11,4,20,4,24,8,0,8,,0,4,4,8,16,16,0,0,4,12,122,4
2016,2,5,12,4,12,4,12,8,0,4,0,20,8,4,0,0,36,0,4,8,12,114,4
2016,2,5,13,4,8,4,4,12,0,16,0,8,0,4,0,12,36,8,4,12,4,53,4
2016,2,5,14,24,16,4,8,4,4,8,,16,4,12,0,8,12,8,0,12,12,221,4
2016,2,5,15,28,16,16,12,4,0,8,,12,12,4,8,8,16,0,0,0,12,69,0
2016,2,5,16,8,4,24,16,12,0,0,0,4,8,4,12,16,4,0,0,8,16,20,12
2016,2,5,17,20,8,20,12,16,4,28,0,12,8,20,16,16,8,12,12,12,4,90,24
2016,2,5,18,24,4,24,8,4,12,28,4,53,8,32,4,12,20,28,12,4,8,102,8
2016,2,5,19,8,0,0,16,8,4,24,0,49,16,16,8,4,4,20,4,8,12,36,4
2016,2,5,20,16,0,12,8,4,0,20,4,8,8,4,0,4,4,0,8,0,4,12,4
2016,2,5,21,8,0,12,0,8,4,16,0,16,0,12,4,8,12,8,16,8,0,16,0
2016,2,5,22,8,0,4,4,4,0,0,8,4,0,8,0,8,0,8,8,0,0,0,4
