年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,3,13,0,90,28,4,12,0,49,0,73,12,4,8,49,254,0,16,8,4,0,8
2017,2,3,14,4,49,24,16,4,0,32,12,86,8,4,4,127,319,4,20,4,8,49,4
2017,2,3,15,4,28,20,20,4,0,41,12,118,28,8,4,98,332,4,20,8,0,20,0
2017,2,3,16,0,45,16,28,0,4,20,8,53,20,16,4,94,176,24,32,36,49,36,0
2017,2,3,17,4,8,28,217,8,0,16,12,36,53,16,8,98,49,53,36,73,82,36,4
2017,2,3,18,0,36,24,20,4,0,4,0,16,24,12,12,49,57,110,20,65,53,16,16
2017,2,3,19,16,12,28,8,4,0,8,0,4,4,0,8,45,28,41,8,12,28,12,28
2017,2,3,20,28,8,12,16,0,0,4,0,8,4,4,4,4,28,32,4,4,8,16,24
2017,2,3,21,8,8,4,8,0,0,0,0,20,4,0,4,16,16,32,0,16,20,0,20
2017,2,3,22,24,4,4,12,0,0,0,0,0,0,4,0,8,4,16,0,8,4,0,4
2017,2,3,23,12,4,0,16,8,0,0,0,8,0,8,0,0,8,20,4,8,0,8,8
2017,2,3,24,4,0,8,4,0,4,0,0,4,8,8,0,0,8,4,0,8,0,0,4
2017,2,4,1,0,12,0,8,0,0,0,4,12,0,0,4,0,24,8,8,8,0,0,20
2017,2,4,2,4,4,4,0,,0,0,4,4,0,0,0,8,4,0,4,0,12,4,28
2017,2,4,3,8,4,0,0,4,4,0,0,4,0,4,0,12,4,0,4,4,0,0,32
2017,2,4,4,0,4,4,8,0,0,0,0,4,0,0,0,12,0,4,0,4,4,8,20
2017,2,4,5,0,0,0,12,4,0,0,0,4,0,0,0,12,4,8,0,4,4,4,8
2017,2,4,6,0,4,4,12,0,4,0,0,0,0,0,0,0,0,8,4,0,0,0,12
2017,2,4,7,0,4,8,4,0,0,0,0,4,4,8,0,12,12,0,0,8,12,0,4
2017,2,4,8,12,12,24,16,0,4,0,0,12,0,4,0,20,4,8,0,8,8,8,20
2017,2,4,9,16,4,28,16,0,4,0,4,8,0,4,0,0,28,24,4,12,0,4,20
2017,2,4,10,8,12,8,0,8,0,0,4,24,16,0,0,4,16,0,4,0,16,0,4
2017,2,4,11,16,12,24,225,4,4,16,4,4,8,4,4,16,4,8,4,4,16,8,16
2017,2,4,12,20,12,24,53,16,0,0,8,8,12,16,12,24,12,12,4,16,32,12,12
2017,2,4,13,8,4,12,8,4,0,8,12,16,4,4,0,41,12,8,0,16,24,4,12
2017,2,4,14,8,24,16,139,0,0,8,12,24,8,4,0,41,41,4,12,16,20,0,8
