年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,3,6,3,65,28,139,237,200,0,45,233,69,98,45,24,90,180,258,233,73,73,139,159
2017,3,6,4,45,73,127,176,131,0,250,278,110,65,98,69,139,184,196,266,49,73,278,221
2017,3,6,5,90,77,204,147,192,4,537,483,131,86,82,94,176,164,172,385,147,94,299,352
2017,3,6,6,102,164,233,176,139,0,250,463,200,28,287,106,94,143,192,696,61,86,270,270
2017,3,6,7,49,278,270,192,131,4,315,455,209,32,262,41,102,127,86,791,28,73,155,184
2017,3,6,8,82,241,401,143,143,0,233,278,147,73,172,36,143,102,32,332,155,82,118,164
2017,3,6,9,65,229,311,139,168,8,217,127,94,155,204,20,98,151,135,155,151,86,139,69
2017,3,6,10,82,110,147,221,98,0,143,53,73,61,65,57,77,77,122,94,102,53,135,45
2017,3,6,11,49,106,82,164,90,0,45,57,65,82,90,20,61,69,4,73,118,61,98,28
2017,3,6,12,24,94,180,102,49,4,41,86,69,98,143,12,12,90,45,98,106,16,49,32
2017,3,6,13,24,45,90,49,110,4,20,41,73,73,90,12,0,94,4,65,114,4,12,4
2017,3,6,14,45,45,86,250,41,36,16,16,57,61,32,0,0,24,0,147,131,0,0,0
2017,3,6,15,28,61,65,139,57,36,110,61,4,28,28,0,0,8,0,45,360,0,4,0
2017,3,6,16,102,69,45,98,90,12,86,49,12,36,24,0,0,0,0,12,16,0,4,4
2017,3,6,17,69,16,196,86,118,0,77,77,12,8,69,0,0,0,0,0,8,4,0,0
2017,3,6,18,188,4,229,73,36,4,61,122,8,4,98,0,0,0,4,8,32,0,0,0
2017,3,6,19,221,0,184,61,69,8,41,57,8,16,20,0,0,0,0,0,12,4,0,0
2017,3,6,20,135,12,57,49,61,0,24,12,0,53,41,0,0,0,0,0,28,0,0,0
2017,3,6,21,69,4,143,8,118,0,467,32,12,36,24,0,4,0,0,12,110,12,0,4
2017,3,6,22,0,4,217,0,2099,0,1107,16,20,24,57,4,4,0,4,8,12,0,0,36
2017,3,6,23,0,12,77,16,1389,0,508,471,16,270,1623,4,0,0,0,12,24,0,8,8
2017,3,6,24,0,24,2017,180,2021,0,151,311,151,3747,733,4,4,12,0,377,0,28,36,4
2017,3,7,1,574,106,6129,3821,1123,4,200,299,65,2222,565,49,176,0,12,139,45,241,180,12
2017,3,7,2,877,204,2328,4530,623,4,94,344,53,1131,475,28,479,118,82,53,114,172,98,696
2017,3,7,3,1020,1615,1049,1771,307,4,98,204,53,664,360,73,344,192,102,20,348,94,16,774
2017,3,7,4,3013,2115,332,815,143,0,20,159,24,578,192,155,635,315,65,20,1336,98,28,479
2017,3,7,5,1230,2017,176,299,57,4,20,102,28,373,94,151,520,717,377,16,717,61,41,487
2017,3,7,6,245,2144,118,188,65,0,8,69,8,426,16,328,947,1881,291,28,405,61,49,434
2017,3,7,7,127,1533,69,192,28,0,8,16,0,233,77,832,1771,1377,102,36,446,4,12,287
2017,3,7,8,135,774,65,135,49,0,12,73,0,159,155,1631,1902,791,155,16,660,45,8,164
2017,3,7,9,131,643,61,184,90,0,24,69,4,356,90,344,811,344,459,8,586,36,4,114
2017,3,7,10,118,307,53,217,36,0,61,82,8,262,98,213,426,229,94,98,422,49,32,180
2017,3,7,11,32,467,24,200,24,0,36,28,24,237,77,131,360,258,69,122,340,98,28,131
2017,3,7,12,151,582,69,553,53,0,24,12,53,188,106,61,262,438,77,135,368,143,106,69
2017,3,7,13,94,393,24,328,225,0,20,16,57,168,28,155,139,278,127,36,319,180,86,98
2017,3,7,14,16,368,143,229,307,0,151,0,90,426,24,61,319,209,225,36,307,184,77,204
2017,3,7,15,69,127,-9998,147,188,0,311,0,57,106,45,164,139,184,200,106,664,114,164,209
2017,3,7,16,16,24,-9998,53,-9998,0,180,45,20,73,348,57,102,53,61,28,131,180,155,295
2017,3,7,17,12,20,4,12,-9998,0,61,12,20,41,266,0,49,0,45,36,168,90,8,151
2017,3,7,18,8,24,-9998,4,0,0,118,32,36,389,90,0,4,4,12,122,122,20,16,114
2017,3,7,19,4,16,0,0,0,4,24,20,12,295,49,0,4,0,28,196,229,94,8,57
2017,3,7,20,0,8,0,4,16,0,0,16,20,282,41,0,20,4,12,73,237,143,24,209
2017,3,7,21,4,8,4,4,45,8,4,28,8,118,0,0,8,0,0,49,110,61,53,368
2017,3,7,22,0,4,16,24,90,28,4,20,8,139,4,0,8,0,0,0,118,24,49,159
2017,3,7,23,4,4,49,0,53,32,16,12,24,118,12,0,8,8,0,8,36,12,4,69
2017,3,7,24,4,4,65,16,16,36,0,8,0,69,36,8,16,16,0,20,20,8,12,24
2017,3,8,1,0,0,86,8,20,0,16,20,4,28,24,0,0,4,0,8,28,4,12,4
2017,3,8,2,0,4,77,24,24,0,4,4,4,8,4,0,4,8,0,28,20,0,8,8
2017,3,8,3,0,0,57,8,8,4,0,0,4,12,12,0,0,0,0,12,24,8,4,8
2017,3,8,4,0,0,8,16,12,12,4,0,16,24,16,0,0,0,0,8,24,8,4,0
2017,3,8,5,0,4,16,28,12,12,4,8,8,16,24,8,0,4,0,12,36,0,0,32
2017,3,8,6,0,0,36,16,24,0,0,8,0,8,8,0,0,16,0,4,24,8,8,41
2017,3,8,7,0,20,20,8,0,0,4,4,12,24,12,0,0,200,4,24,118,12,12,73
2017,3,8,8,0,61,127,16,32,12,24,20,24,82,4,4,32,12,0,12,414,8,24,32
2017,3,8,9,24,41,143,24,41,8,4,0,32,41,24,16,49,77,28,57,200,12,24,45
2017,3,8,10,475,155,213,196,28,4,32,8,36,28,4,8,36,135,16,32,135,4,28,28
2017,3,8,11,139,147,414,184,36,8,57,12,16,36,86,0,12,385,24,20,217,12,12,36
2017,3,8,12,151,73,483,204,49,0,49,20,16,49,49,8,8,364,0,41,307,49,12,32
2017,3,8,13,188,131,787,143,94,0,20,8,20,57,57,16,16,393,4,69,147,16,16,24
2017,3,8,14,143,77,725,237,102,0,73,8,90,192,61,36,32,192,16,98,127,41,20,12
2017,3,8,15,356,86,1004,139,36,0,90,24,77,217,49,53,49,217,8,4,114,24,65,0
2017,3,8,16,94,45,1111,196,77,0,36,8,98,61,36,12,28,164,12,82,45,28,69,4
2017,3,8,17,122,41,856,45,94,0,86,12,147,73,61,28,61,196,16,65,53,4,41,41
2017,3,8,18,90,98,844,90,53,8,53,41,122,82,32,49,45,98,57,204,41,20,36,127
2017,3,8,19,196,155,221,127,147,0,118,24,172,90,122,110,82,106,303,110,45,16,36,45
2017,3,8,20,364,237,245,53,159,0,49,36,151,49,69,82,65,114,57,204,45,16,69,53
2017,3,8,21,164,233,127,36,61,4,16,24,168,57,73,45,69,53,8,262,41,16,41,28
2017,3,8,22,82,229,106,65,61,0,28,28,127,41,86,53,45,98,12,127,41,28,41,49
2017,3,8,23,12,906,49,20,122,0,4,57,41,53,49,86,57,73,28,41,36,28,77,82
2017,3,8,24,8,598,49,65,254,0,4,36,12,45,28,65,49,61,4,24,49,45,180,45
2017,3,9,1,4,450,57,65,122,0,12,24,32,20,20,77,28,61,20,20,24,20,61,118
2017,3,9,2,65,192,172,24,65,0,8,8,4,28,12,94,53,102,16,20,24,12,24,65
2017,3,9,3,32,0,176,24,28,0,20,8,8,20,24,69,82,82,8,12,8,0,4,49
2017,3,9,4,102,24,127,0,24,0,16,4,0,4,16,4,49,69,8,4,8,24,12,41
2017,3,9,5,65,4,36,8,4,0,8,4,4,4,16,4,65,24,4,8,12,0,8,36
2017,3,9,6,8,12,41,8,12,0,4,0,0,16,12,0,12,16,12,69,28,0,0,36
2017,3,9,7,12,12,32,8,8,0,4,0,12,8,0,4,16,24,0,82,28,0,0,24
2017,3,9,8,12,41,45,16,28,0,24,4,8,16,24,4,24,73,12,49,69,8,4,24
2017,3,9,9,36,20,57,16,24,0,24,32,20,61,24,8,41,77,41,24,77,12,20,36
2017,3,9,10,49,28,213,24,12,0,12,20,28,12,8,16,20,98,32,8,20,28,4,16
2017,3,9,11,49,65,217,53,28,4,135,12,8,12,16,20,20,69,32,16,20,32,8,16
2017,3,9,12,16,41,368,98,36,0,229,20,32,20,16,4,20,147,28,20,32,28,12,8
2017,3,9,13,32,57,188,106,139,0,86,24,12,28,36,0,12,114,4,12,32,4,16,8
2017,3,9,14,49,41,233,127,139,0,32,24,28,45,53,4,24,188,12,24,12,16,8,20
2017,3,9,15,24,73,168,131,135,0,41,28,57,32,28,8,4,61,8,12,36,8,4,24
2017,3,9,16,98,73,192,98,36,0,12,16,28,16,61,4,0,114,0,8,28,0,16,36
2017,3,9,17,65,127,102,139,98,0,20,24,61,41,82,0,12,110,8,8,28,4,20,36
2017,3,9,18,24,77,180,122,164,0,65,4,28,32,180,0,28,155,65,8,61,12,20,41
2017,3,9,19,32,45,155,106,69,4,82,32,28,53,262,8,32,102,45,57,69,4,61,4
2017,3,9,20,12,45,282,127,77,0,32,45,45,24,94,12,155,61,45,36,53,8,41,16
2017,3,9,21,65,73,217,118,24,0,12,45,49,45,82,73,90,94,82,53,41,16,41,36
2017,3,9,22,77,159,245,73,28,0,8,45,65,16,98,65,102,147,12,86,73,28,65,57
2017,3,9,23,82,131,266,184,36,0,8,4,73,16,69,32,36,122,0,102,49,41,24,77
2017,3,9,24,147,69,180,77,41,0,32,4,16,8,36,28,36,110,0,73,12,16,32,32
2017,3,10,1,45,49,245,49,32,0,32,8,20,8,20,8,53,147,8,61,65,24,28,28
2017,3,10,2,28,12,151,98,36,0,41,16,49,8,32,0,36,53,12,49,61,12,36,57
2017,3,10,3,32,49,143,82,20,0,36,20,24,16,32,4,12,8,24,32,122,4,0,32
2017,3,10,4,53,20,82,45,12,0,32,36,16,28,53,4,24,20,12,41,24,4,0,61
2017,3,10,5,102,36,41,12,8,0,8,28,20,73,28,0,0,12,8,69,16,20,16,32
2017,3,10,6,24,122,77,53,24,0,0,24,24,49,0,0,20,16,0,139,20,0,4,36
2017,3,10,7,24,65,106,12,24,0,20,32,28,12,4,16,12,49,4,73,24,4,16,53
2017,3,10,8,20,82,102,45,24,0,20,49,36,16,41,0,32,188,16,53,82,12,20,32
2017,3,10,9,16,86,32,28,24,0,12,28,36,82,69,24,24,106,12,12,32,8,4,41
2017,3,10,10,16,77,28,28,57,0,61,20,49,32,57,16,45,65,12,24,41,16,4,0
2017,3,10,11,57,41,176,57,237,0,209,36,57,41,57,4,24,176,16,16,41,41,12,16
2017,3,10,12,135,45,393,373,32,4,106,20,24,147,122,4,4,237,28,45,77,20,4,20
2017,3,10,13,86,122,381,90,114,0,209,8,65,528,82,0,16,475,20,45,135,41,12,24
2017,3,10,14,57,229,656,225,36,0,192,4,16,336,49,36,24,258,12,32,184,69,77,36
2017,3,10,15,168,213,1000,340,28,0,65,4,57,217,57,12,45,533,28,61,225,131,159,90
2017,3,10,16,98,86,865,200,36,0,61,4,49,184,73,8,77,565,28,41,192,266,151,94
2017,3,10,17,28,139,266,143,16,8,49,16,45,73,12,16,102,299,49,53,180,118,90,110
2017,3,10,18,41,73,266,127,16,12,53,,45,86,20,41,61,295,65,28,143,82,41,102
2017,3,10,19,49,57,114,110,4,8,69,,32,45,24,61,147,274,49,36,122,61,41,77
2017,3,10,20,73,77,114,82,4,8,28,,49,77,32,20,61,213,114,32,118,61,36,57
2017,3,10,21,73,49,131,45,0,4,24,,32,57,41,24,36,159,168,12,24,32,28,57
2017,3,10,22,32,12,90,4,8,65,32,,8,45,20,4,24,200,86,4,20,8,4,32
2017,3,10,23,24,12,164,20,16,16,28,,0,41,8,12,16,98,41,12,69,28,20,12
2017,3,10,24,36,8,118,53,20,0,8,,0,8,49,0,16,57,36,16,65,20,0,12
2017,3,11,1,57,8,102,32,8,4,12,,4,65,24,16,12,61,28,20,49,24,8,32
2017,3,11,2,57,16,295,28,4,0,8,,0,69,41,20,16,36,45,12,86,12,0,94
2017,3,11,3,53,20,143,4,8,0,4,,4,73,4,16,4,73,4,4,36,12,16,65
2017,3,11,4,90,12,221,8,4,8,4,,0,16,24,4,16,12,8,8,20,4,0,57
2017,3,11,5,32,28,176,49,217,4,20,,12,57,28,0,32,28,24,20,65,32,20,36
2017,3,11,6,118,24,188,28,28,0,16,,12,45,8,4,45,36,4,4,20,20,8,20
2017,3,11,7,147,4,49,45,86,8,12,,8,57,8,4,20,45,4,8,20,12,8,16
2017,3,11,8,118,28,28,57,65,0,36,,0,94,24,8,20,143,20,20,147,8,8,36
2017,3,11,9,4,16,118,86,24,0,24,,24,106,16,32,16,143,32,4,73,20,24,45
2017,3,11,10,65,28,184,41,77,0,61,,20,237,20,8,41,86,32,16,82,16,16,45
2017,3,11,11,57,41,106,41,49,4,53,,32,258,65,8,16,106,41,24,118,,16,49
2017,3,11,12,49,69,168,118,20,20,45,,20,295,49,16,8,86,4,16,114,28,28,61
2017,3,11,13,20,41,295,106,8,20,28,,24,159,61,4,41,73,16,20,135,41,32,86
2017,3,11,14,12,77,176,102,8,24,45,,12,127,36,16,45,98,12,20,131,53,24,86
2017,3,11,15,8,82,82,159,16,102,65,,36,131,16,8,86,118,53,16,151,61,20,53
2017,3,11,16,8,139,73,98,41,131,77,,53,127,41,8,41,135,12,4,147,28,24,32
2017,3,11,17,4,61,94,106,16,57,49,,77,65,12,0,69,82,24,24,143,73,32,20
2017,3,11,18,4,28,82,147,16,98,24,,122,49,4,82,77,36,8,32,131,98,20,12
2017,3,11,19,12,36,57,86,12,0,24,,69,57,8,65,110,53,69,16,114,77,20,53
2017,3,11,20,16,45,45,61,12,32,12,,36,82,4,24,86,82,176,57,69,73,24,12
2017,3,11,21,4,94,45,77,4,24,45,,53,122,4,4,36,122,106,16,77,61,41,36
2017,3,11,22,77,53,41,45,16,24,225,,49,28,20,12,36,106,69,28,127,49,16,73
2017,3,11,23,49,12,20,53,32,12,127,,53,36,82,4,65,61,45,69,176,24,12,102
2017,3,11,24,61,16,53,57,8,4,20,,20,4,28,20,41,28,20,24,250,49,16,65
2017,3,12,1,41,8,61,28,4,4,8,,65,16,20,8,16,8,41,90,127,20,12,65
2017,3,12,2,28,4,41,57,4,4,8,,118,12,16,20,28,16,16,176,69,24,12,168
2017,3,12,3,28,36,41,65,0,0,4,,57,20,8,20,36,36,20,135,24,0,16,110
2017,3,12,4,20,45,24,65,12,0,16,,53,28,32,65,28,28,20,98,41,32,16,127
2017,3,12,5,8,41,12,61,8,0,0,,53,20,8,28,20,69,8,102,24,20,12,139
2017,3,12,6,12,16,4,12,0,0,36,,16,32,12,49,41,53,12,110,16,28,24,53
2017,3,12,7,4,16,0,0,0,0,12,,8,77,20,45,28,82,24,65,41,16,20,20
2017,3,12,8,20,61,57,8,16,4,12,,8,57,32,24,57,102,20,20,45,36,36,53
2017,3,12,9,8,16,98,20,16,0,32,,24,41,45,49,53,143,4,28,41,20,28,49
2017,3,12,10,28,53,131,4,53,0,57,,24,114,24,24,41,82,4,36,32,53,24,49
2017,3,12,11,20,45,69,24,28,4,0,,24,57,28,28,49,102,36,28,36,32,36,28
2017,3,12,12,32,57,32,32,41,8,20,,16,45,16,12,69,61,24,20,49,32,4,32
2017,3,12,13,28,57,20,41,16,12,24,,49,41,16,12,57,57,20,12,16,24,4,49
2017,3,12,14,0,49,45,20,41,20,20,,41,32,4,20,12,176,8,12,61,45,12,20
2017,3,12,15,0,61,53,45,45,45,32,,36,32,8,28,32,118,41,16,53,12,16,12
2017,3,12,16,16,61,45,49,86,36,12,,16,20,20,28,28,49,16,8,20,8,4,20
2017,3,12,17,4,24,94,90,57,82,28,,16,12,8,20,8,16,8,12,77,20,24,28
2017,3,12,18,12,28,98,184,82,135,49,,20,4,16,0,12,28,8,20,20,0,20,16
2017,3,12,19,20,4,73,82,73,118,73,,24,24,20,4,20,12,16,8,36,4,4,12
2017,3,12,20,20,12,61,53,180,53,94,,16,20,53,4,16,12,8,4,45,20,16,12
2017,3,12,21,65,4,77,53,192,94,188,,41,16,127,4,28,0,8,4,32,12,0,8
2017,3,12,22,53,16,90,32,196,20,77,,8,8,32,0,4,0,20,4,41,36,0,69
2017,3,12,23,12,8,73,77,168,4,69,,12,20,20,0,4,8,16,0,45,12,0,0
2017,3,12,24,20,4,94,77,73,32,192,,0,8,32,0,4,4,4,12,16,4,12,16
2017,3,13,1,8,12,122,61,65,0,127,,16,0,45,0,4,4,0,8,32,0,4,8
2017,3,13,2,20,16,106,53,77,0,86,,16,8,57,0,4,0,4,28,4,0,0,4
2017,3,13,3,32,0,94,69,73,8,77,,8,12,32,0,16,8,8,8,0,4,4,0
2017,3,13,4,36,0,73,36,69,4,53,,4,0,65,8,8,12,8,0,4,0,4,8
2017,3,13,5,49,4,53,32,61,0,94,,0,0,61,0,20,12,4,8,8,4,8,4
2017,3,13,6,28,4,69,12,57,0,94,,8,32,61,0,36,36,8,8,0,0,0,0
2017,3,13,7,24,4,28,32,45,0,77,,16,16,36,0,12,8,4,12,12,0,4,8
2017,3,13,8,45,16,57,28,24,0,135,,4,32,32,4,24,45,16,8,24,4,8,4
2017,3,13,9,24,28,57,49,65,4,221,,4,24,53,0,32,41,24,20,12,16,0,12
2017,3,13,10,20,49,53,32,45,4,291,,12,36,73,8,16,28,12,28,28,24,16,0
2017,3,13,11,24,53,45,41,77,0,73,,4,41,20,20,36,118,24,57,12,41,8,16
2017,3,13,12,12,36,24,57,41,8,12,,41,4,28,4,16,61,12,61,57,8,12,4
2017,3,13,13,4,41,20,36,32,4,8,,28,16,28,20,49,65,16,65,36,20,12,24
2017,3,13,14,0,28,20,61,77,0,24,,12,24,49,8,16,73,73,53,53,36,20,12
2017,3,13,15,4,57,8,61,147,0,32,,32,36,28,8,49,118,53,8,20,36,8,8
2017,3,13,16,0,61,20,8,69,0,24,,36,28,24,12,69,32,0,45,53,65,12,32
2017,3,13,17,0,16,24,24,24,20,32,,49,24,28,12,8,20,20,20,36,45,36,20
2017,3,13,18,8,28,16,41,20,0,12,,41,24,32,4,8,0,0,57,49,53,12,16
2017,3,13,19,0,4,16,24,20,4,94,,45,8,36,4,4,16,0,28,12,4,0,32
2017,3,13,20,4,4,12,4,24,4,36,,8,4,24,4,0,16,4,69,4,4,0,12
2017,3,13,21,4,8,24,24,24,4,36,,24,0,8,0,0,12,4,65,36,20,0,32
2017,3,13,22,8,4,32,20,41,4,32,,0,36,8,0,4,20,0,57,69,16,0,12
2017,3,13,23,4,4,20,16,4,4,20,,12,28,0,0,8,4,0,4,114,4,0,36
2017,3,13,24,32,4,24,4,16,0,32,,0,12,12,0,0,4,0,8,114,0,0,24
2017,3,14,1,20,0,20,4,82,0,32,,4,4,20,0,0,0,0,4,73,4,0,20
2017,3,14,2,20,8,4,20,168,-9998,53,,0,24,61,0,0,0,0,0,20,0,0,20
2017,3,14,3,20,0,4,8,221,4,45,,8,12,57,0,0,0,8,4,24,0,0,4
2017,3,14,4,0,4,12,8,28,0,45,,4,0,127,0,4,0,4,4,12,0,0,4
2017,3,14,5,4,4,8,28,24,0,102,,0,0,98,0,0,0,0,0,8,0,0,0
2017,3,14,6,0,4,0,12,49,4,8,,0,0,41,0,8,0,0,0,28,0,0,0
2017,3,14,7,0,0,8,4,8,4,4,,0,0,4,0,4,0,0,0,4,0,0,0
2017,3,14,8,0,0,4,16,0,20,4,,0,0,0,4,0,0,0,0,8,4,0,4
2017,3,14,9,0,12,4,12,20,28,0,,0,0,0,0,4,0,0,0,4,4,4,8
2017,3,14,10,16,69,8,53,53,57,4,,0,0,0,0,4,12,0,0,16,0,0,4
2017,3,14,11,20,73,16,213,127,4,0,,4,4,0,4,8,12,0,0,16,0,0,0
2017,3,14,12,4,36,53,455,184,0,12,,4,0,0,8,0,65,0,4,12,0,0,0
2017,3,14,13,4,24,4,303,332,12,20,,0,0,0,12,0,28,0,0,16,0,0,4
2017,3,14,14,0,28,12,450,250,16,45,,8,4,4,20,20,98,8,8,12,12,0,16
2017,3,14,15,0,32,0,192,77,-9998,16,,8,0,4,4,69,82,12,8,36,8,0,12
2017,3,14,16,0,61,0,82,82,20,61,,73,65,8,32,36,16,8,45,86,24,4,20
2017,3,14,17,0,16,0,73,41,-9998,344,,49,94,28,12,24,0,16,98,41,32,16,16
2017,3,14,18,0,24,0,94,94,8,356,,53,41,45,12,8,0,24,53,155,45,57,41
2017,3,14,19,4,8,0,102,143,-9998,73,,24,28,32,8,12,8,12,12,53,41,24,65
2017,3,14,20,8,41,4,143,110,0,57,,12,16,12,12,8,12,8,16,8,24,32,8
2017,3,14,21,0,77,0,159,127,4,118,,24,0,8,16,8,0,0,4,20,12,8,12
2017,3,14,22,16,77,0,122,159,12,73,,20,4,8,28,32,0,16,12,8,4,20,8
2017,3,14,23,12,28,4,172,90,-9998,20,,28,4,36,12,36,0,16,12,4,8,8,12
2017,3,14,24,0,53,0,118,45,20,4,,20,24,8,32,57,0,4,16,28,8,8,0
2017,3,15,1,0,86,0,90,41,-9998,0,,4,24,24,28,41,4,12,4,8,16,12,4
2017,3,15,2,0,24,0,90,41,-9998,8,,0,16,0,12,16,12,16,4,24,24,24,8
2017,3,15,3,0,4,0,69,53,57,0,,0,12,0,0,8,8,8,0,24,41,20,0
2017,3,15,4,0,0,0,20,122,57,0,,0,0,0,0,0,8,8,0,0,0,12,0
2017,3,15,5,0,0,-9998,12,32,-9998,12,,0,0,4,0,0,0,4,0,32,0,0,0
2017,3,15,6,-9998,0,-9998,24,24,102,28,,0,0,4,0,4,0,0,0,57,0,4,0
2017,3,15,7,-9998,0,-9998,28,20,-9998,41,,0,4,4,0,4,-9998,0,0,12,0,0,0
2017,3,15,8,0,0,0,24,65,45,57,,0,4,16,0,0,0,0,0,12,0,0,4
2017,3,15,9,0,0,0,61,184,28,16,,0,4,20,0,0,4,0,0,4,24,0,4
2017,3,15,10,0,4,0,282,311,4,131,,0,4,4,4,0,0,0,0,16,16,0,4
2017,3,15,11,4,16,8,332,209,8,155,,24,16,8,4,8,0,4,4,16,53,8,4
2017,3,15,12,0,20,16,254,77,16,98,28,4,28,20,0,8,28,4,16,36,65,4,16
2017,3,15,13,4,12,131,131,90,12,504,131,24,41,28,0,0,36,0,36,65,41,0,36
2017,3,15,14,4,12,217,147,28,0,82,53,12,49,24,0,4,102,20,16,53,77,4,32
2017,3,15,15,4,12,233,106,53,8,86,49,28,73,24,0,8,217,4,4,61,20,4,16
2017,3,15,16,4,36,258,102,20,4,168,86,57,24,41,12,65,159,24,20,94,45,0,4
2017,3,15,17,12,32,258,122,41,0,168,73,36,36,36,20,176,155,8,28,61,32,16,61
2017,3,15,18,12,49,106,77,8,4,135,102,24,90,73,36,213,102,45,41,94,106,16,49
2017,3,15,19,57,45,69,94,4,4,49,73,53,28,36,61,118,61,65,36,28,45,69,57
2017,3,15,20,12,8,12,41,32,0,41,77,36,45,77,61,73,41,110,102,20,131,98,8
2017,3,15,21,16,36,36,8,24,0,24,86,49,36,106,20,16,57,86,90,12,69,61,41
2017,3,15,22,16,41,36,8,16,0,8,86,94,36,241,12,4,8,12,106,12,65,28,57
2017,3,15,23,20,45,32,24,8,4,8,53,28,45,565,8,4,8,4,98,57,49,20,57
2017,3,15,24,36,4,53,24,73,0,4,24,8,36,459,0,0,4,0,49,65,12,0,53
2017,3,16,1,20,0,102,49,106,0,8,4,12,24,533,0,4,0,0,69,4,16,0,90
2017,3,16,2,20,8,65,110,102,0,0,8,16,41,299,0,8,20,8,127,24,16,8,114
2017,3,16,3,8,16,188,4,94,0,12,16,28,53,110,0,4,32,4,250,36,28,16,172
2017,3,16,4,0,12,569,24,180,0,24,4,28,73,127,4,16,20,0,135,12,16,12,176
2017,3,16,5,0,0,955,12,65,0,24,24,77,45,49,8,8,20,0,278,24,41,32,164
2017,3,16,6,4,12,459,8,49,0,20,24,69,12,12,28,24,12,8,159,16,86,69,168
2017,3,16,7,24,24,241,20,12,4,49,45,61,20,20,28,28,24,4,102,57,45,57,69
2017,3,16,8,41,77,250,53,36,0,8,45,32,53,32,73,49,143,12,61,127,45,98,57
2017,3,16,9,24,32,450,41,24,0,90,24,20,172,28,16,45,114,53,24,73,57,53,69
2017,3,16,10,106,57,656,24,28,0,122,20,45,196,106,8,8,102,16,24,69,28,32,32
2017,3,16,11,164,28,897,20,61,0,94,32,8,319,217,12,8,159,28,102,57,77,36,16
2017,3,16,12,110,57,1209,69,20,0,147,12,49,537,159,4,20,537,12,110,61,20,24,16
2017,3,16,13,86,82,299,69,4,0,127,8,82,340,110,4,24,98,32,262,155,41,0,8
2017,3,16,14,20,155,389,176,12,0,106,16,69,328,102,16,77,131,12,209,139,4,16,20
2017,3,16,15,12,86,422,295,20,0,143,24,28,332,135,8,127,131,139,307,213,8,28,4
2017,3,16,16,32,57,651,250,8,0,86,20,61,225,73,16,61,118,49,73,147,4,36,32
2017,3,16,17,49,57,762,122,41,4,143,0,36,221,36,12,8,28,28,24,143,4,45,4
2017,3,16,18,53,143,717,164,49,0,147,4,24,143,94,20,20,49,45,12,250,12,49,0
2017,3,16,19,102,53,225,446,16,0,45,8,12,122,41,24,32,164,61,28,98,8,24,0
2017,3,16,20,159,41,147,348,28,0,41,41,24,139,45,4,4,98,86,57,110,8,8,0
2017,3,16,21,45,0,114,192,164,0,20,20,8,86,53,41,77,53,53,28,209,49,41,41
2017,3,16,22,90,49,151,151,16,0,41,32,12,82,61,12,53,65,12,8,114,41,36,36
2017,3,16,23,24,73,139,254,12,0,20,20,20,328,28,8,49,229,69,24,94,12,45,36
2017,3,16,24,20,90,192,217,32,0,32,12,4,184,36,8,32,200,49,8,90,8,8,98
2017,3,17,1,24,131,475,106,73,4,16,32,16,159,41,4,41,196,73,32,57,4,16,176
2017,3,17,2,24,86,385,65,69,0,28,32,0,127,36,4,8,192,32,8,28,12,0,155
2017,3,17,3,65,106,348,82,53,0,4,53,16,168,36,12,4,102,28,20,12,16,16,209
2017,3,17,4,20,77,118,122,86,0,4,57,0,86,16,16,4,69,20,16,12,12,12,53
2017,3,17,5,24,53,102,143,28,0,16,20,0,57,24,45,36,61,8,8,24,8,4,49
2017,3,17,6,8,28,65,65,69,0,8,24,8,122,20,28,49,131,16,28,12,8,0,20
2017,3,17,7,65,73,122,45,32,0,28,12,28,168,36,4,41,241,12,53,32,4,4,45
2017,3,17,8,61,36,487,69,45,8,20,24,16,143,61,4,4,299,73,49,77,12,4,110
2017,3,17,9,49,82,426,102,90,4,49,20,16,200,77,4,24,172,53,57,69,4,12,20
2017,3,17,10,110,36,405,270,20,0,110,12,8,172,41,4,16,139,8,28,114,49,8,53
2017,3,17,11,106,77,606,336,16,0,94,0,20,164,98,0,32,200,24,8,122,41,36,57
2017,3,17,12,41,32,348,360,12,0,69,16,16,192,131,16,4,200,0,20,176,20,20,45
2017,3,17,13,16,41,258,299,28,0,57,12,49,164,77,49,12,168,8,53,131,57,12,90
2017,3,17,14,28,36,356,213,114,4,77,20,45,241,86,0,28,65,36,143,196,77,20,53
2017,3,17,15,12,82,414,221,36,0,184,12,61,217,102,16,45,86,65,131,258,61,28,57
2017,3,17,16,24,69,381,426,49,0,135,24,86,143,118,28,61,196,12,106,258,57,28,20
2017,3,17,17,49,106,409,266,32,0,94,8,36,266,90,36,98,258,94,217,159,69,24,8
2017,3,17,18,20,127,319,155,36,0,77,,65,200,94,127,49,184,77,94,225,41,73,4
2017,3,17,19,36,192,204,102,41,0,73,,41,159,45,65,110,168,41,53,184,4,86,20
