年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,新宿区役所第二分庁舎,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2019,2,3,13,4,12,4,0,0,8,12,16,4,0,8,4,4,12,0,0,4,24,16,0
2019,2,3,14,0,8,4,0,0,12,8,4,0,0,0,0,12,16,4,0,16,0,4,0
2019,2,3,15,4,20,0,12,0,0,16,12,4,0,4,0,0,28,0,16,16,4,0,0
2019,2,3,16,0,20,0,8,20,0,12,4,16,0,0,4,0,49,4,4,8,4,4,0
2019,2,3,17,4,4,0,12,0,0,12,0,0,12,12,0,4,24,12,0,8,0,0,0
2019,2,3,18,8,20,4,8,8,4,49,16,0,12,8,0,0,36,4,4,0,8,4,0
2019,2,3,19,24,12,4,12,28,8,36,41,8,8,12,8,8,57,16,4,20,4,4,8
2019,2,3,20,4,16,4,12,4,0,28,36,16,4,28,0,0,45,8,20,8,0,8,0
2019,2,3,21,16,8,4,12,16,4,24,12,0,0,16,0,4,82,0,16,12,0,0,0
2019,2,3,22,20,20,0,16,12,0,12,20,4,0,8,0,0,53,0,0,12,0,0,0
2019,2,3,23,20,8,4,4,4,0,4,12,4,0,20,0,0,0,0,4,12,0,8,0
2019,2,3,24,0,16,16,4,0,0,8,4,8,4,16,0,0,4,4,4,24,0,4,0
2019,2,4,1,4,16,4,8,0,0,4,8,4,0,8,0,0,16,4,4,12,0,0,4
2019,2,4,2,4,8,12,4,4,4,0,4,0,0,0,0,0,16,0,0,8,0,0,0
2019,2,4,3,4,8,12,4,4,0,0,0,0,4,0,0,0,8,0,0,8,0,0,0
2019,2,4,4,4,8,8,0,8,0,0,0,0,0,0,0,4,16,8,8,4,0,0,4
2019,2,4,5,0,0,8,4,0,0,16,4,0,0,0,0,0,24,0,0,8,0,0,0
2019,2,4,6,0,4,0,0,0,4,4,8,12,0,0,0,0,4,0,0,0,0,0,4
2019,2,4,7,8,8,0,0,4,8,4,4,4,4,0,0,0,4,0,0,0,0,0,4
2019,2,4,8,4,8,12,0,8,4,8,4,12,0,4,0,0,20,4,0,8,0,4,4
2019,2,4,9,8,20,4,0,16,8,16,20,12,0,0,0,12,16,4,8,28,8,0,8
2019,2,4,10,4,20,0,24,28,8,73,8,4,0,8,0,12,28,4,16,20,24,4,12
2019,2,4,11,4,77,16,8,12,8,61,12,24,20,8,8,8,8,8,8,36,28,8,12
2019,2,4,12,8,28,0,65,4,0,45,12,16,12,0,8,12,98,16,12,57,12,8,8
2019,2,4,13,12,118,20,73,0,8,8,16,8,16,0,0,24,61,8,4,20,28,0,4
2019,2,4,14,24,151,12,16,8,4,53,4,0,4,4,4,20,155,12,8,41,16,4,4
2019,2,4,15,12,106,0,16,4,4,32,20,8,4,4,0,24,110,8,0,16,28,0,16
2019,2,4,16,16,53,20,12,4,8,151,0,0,20,0,0,8,135,4,8,20,12,0,0
2019,2,4,17,4,98,4,8,4,4,122,4,4,36,4,16,8,102,12,0,61,20,16,8
2019,2,4,18,0,28,4,8,0,4,65,0,4,28,0,4,20,131,12,12,24,32,4,36
2019,2,4,19,0,16,8,12,0,0,61,0,8,28,0,8,0,49,0,4,28,49,0,12
2019,2,4,20,0,12,4,8,4,4,45,12,8,8,0,0,4,41,0,0,12,36,4,20
2019,2,4,21,0,12,4,12,0,0,36,4,0,8,4,4,4,28,4,4,20,16,4,8
2019,2,4,22,0,12,12,4,4,0,24,0,0,0,4,4,8,12,8,0,4,8,8,8
2019,2,4,23,4,4,0,4,16,0,0,8,0,8,4,4,4,41,8,4,0,0,0,4
2019,2,4,24,0,4,16,0,0,0,41,4,0,0,8,0,8,32,16,0,4,16,0,8
2019,2,5,1,4,0,12,8,0,0,12,0,0,4,4,0,0,16,8,4,0,4,0,8
2019,2,5,2,4,12,4,0,0,8,28,4,0,8,0,0,0,36,8,0,12,8,0,8
2019,2,5,3,4,16,4,0,4,0,8,8,0,0,0,4,16,16,12,4,20,12,8,8
2019,2,5,4,0,8,8,0,4,4,20,12,4,0,0,8,8,12,0,4,4,8,0,16
2019,2,5,5,0,4,4,8,8,0,0,0,0,0,4,4,4,20,0,0,4,8,4,0
2019,2,5,6,4,4,0,16,0,0,0,8,0,0,0,0,8,12,16,4,12,4,0,0
2019,2,5,7,0,8,4,32,0,20,0,4,4,0,4,0,32,24,4,0,4,4,4,8
2019,2,5,8,0,4,16,16,8,12,36,32,4,4,4,8,4,16,4,4,12,4,4,4
2019,2,5,9,0,20,4,28,0,0,12,24,0,4,0,4,8,20,8,0,20,8,0,0
2019,2,5,10,0,20,4,28,0,8,16,8,8,0,8,4,24,24,4,4,16,8,0,8
2019,2,5,11,0,4,4,16,4,8,24,16,4,20,8,12,36,4,12,0,16,12,4,4
2019,2,5,12,8,20,12,16,4,8,8,12,4,12,8,4,4,24,4,4,20,28,0,12
2019,2,5,13,0,8,4,28,4,8,8,16,4,8,12,12,20,8,8,8,32,12,4,8
2019,2,5,14,0,0,0,12,0,20,12,8,4,4,8,0,20,45,8,0,24,24,12,8
2019,2,5,15,4,4,12,12,0,8,16,16,20,4,4,24,4,24,4,8,28,8,0,16
2019,2,5,16,4,0,16,20,8,16,0,4,8,0,8,0,16,4,4,4,28,4,8,0
2019,2,5,17,4,4,16,16,12,0,28,12,8,0,0,0,8,0,4,0,16,0,0,12
2019,2,5,18,0,12,12,12,20,8,28,16,0,0,8,0,20,8,0,0,20,4,0,4
2019,2,5,19,4,8,8,0,4,0,41,28,8,20,12,0,8,24,8,0,8,0,0,28
2019,2,5,20,16,16,4,8,4,20,53,4,4,0,0,0,4,20,4,4,12,0,0,20
2019,2,5,21,28,12,0,0,4,4,61,20,0,8,24,4,4,20,0,0,8,4,0,8
2019,2,5,22,4,8,0,8,4,12,8,12,4,0,20,8,12,12,4,4,8,24,4,4
2019,2,5,23,12,4,0,0,4,4,8,20,0,0,4,8,8,12,4,0,12,0,0,4
2019,2,5,24,0,0,0,4,4,0,20,4,8,4,8,4,12,4,0,0,8,4,0,0
2019,2,6,1,4,12,0,8,4,0,16,4,12,0,0,4,4,8,8,8,0,4,0,4
